name,tm_id,season,league,apps,minutes,atk_goals,atk_xg,atk_goals_vs_xg,atk_shots,atk_shots_on_target,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_total,def_ground_duels_won,def_aerial_duels_total,def_aerial_duels_won,pass_total,pass_open_play_total,pass_final_third,pass_crosses,pass_long_total,pass_through_balls,carry_all_carries,carry_progressive,carry_distance_m,carry_prog_distance_m,carry_lead_to_shot,carry_lead_to_goal,carry_lead_to_chance,carry_lead_to_assist,gk_goals_conceded,gk_saves,gk_xgot_conceded,gk_goals_prevented,atk_conversion_pct,atk_xg_per_shot,def_ground_duels_pct,def_aerial_duels_pct,pass_accuracy_pct,pass_open_play_pct,pass_long_pct,carry_avg_distance_m,carry_prog_avg_distance_m,gk_save_pct,row_id,team_id,pass_long_successful,gk_goals_prevented_rate,norm_name,source,analyst_player_id,atk_goals_per90,atk_xg_per90,atk_shots_per90,atk_shots_on_target_per90,def_tackles_per90,def_interceptions_per90,def_possession_won_per90,def_blocks_per90,def_clearances_per90,def_ground_duels_total_per90,def_ground_duels_won_per90,def_aerial_duels_total_per90,def_aerial_duels_won_per90,pass_total_per90,pass_open_play_total_per90,pass_final_third_per90,pass_crosses_per90,pass_long_total_per90,pass_through_balls_per90,carry_all_carries_per90,carry_progressive_per90,carry_distance_m_per90,carry_prog_distance_m_per90,carry_lead_to_shot_per90,carry_lead_to_goal_per90,carry_lead_to_chance_per90,carry_lead_to_assist_per90,gk_goals_conceded_per90,gk_saves_per90,gk_xgot_conceded_per90,gk_goals_prevented_per90,sofascore_id,stat_bigChancesCreated,stat_bigChancesMissed,stat_keyPasses,stat_penaltiesTaken,stat_offsides,stat_km_per90,stat_sprints_per90,stat_topSpeed,stat_bigChancesCreated_per90,stat_bigChancesMissed_per90,stat_keyPasses_per90
Boubacar Kamara,394327.0,2026/2027,Premier League,4,360,0.0,0.0,0.0,0.0,0.0,7.0,2.0,13.0,1.0,7.0,34.0,16.0,10.0,6.0,199.0,59.0,176.0,48.0,1.0,1.0,29.0,14.0,237.0,97.8,0.0,0.0,0.0,0.0,,,,,0.0,0.0,47.1,60.0,88.4,81.4,0.0,8.2,7.0,,178948265300350,b496gs285it6bheuikox6z9mj,0.0,,,,,0.0,0.0,0.0,0.0,1.75,0.5,3.25,0.25,1.75,8.5,4.0,2.5,1.5,49.75,14.75,44.0,12.0,0.25,0.25,7.25,3.5,59.25,24.45,0.0,0.0,0.0,0.0,,,,,826204,0.0,0.0,3.0,0.0,0.0,11.02,5.8,30.05,0.0,0.0,0.75
Santiago Colombatto,395122.0,2025/2026,La Liga,32,2069,0.0,0.63,-0.63,15.0,2.0,44.0,14.0,102.0,6.0,41.0,159.0,89.0,27.0,12.0,1019.0,268.0,876.0,203.0,20.0,7.0,190.0,105.0,1723.9,881.2,1.0,0.0,2.0,0.0,,,,,0.0,0.04,56.0,44.4,86.0,75.8,45.0,9.1,8.4,,79336,clo928vcczjp0mczavs5o7p5k,9.0,,,,,0.0,0.03,0.65,0.09,1.91,0.61,4.44,0.26,1.78,6.92,3.87,1.17,0.52,44.33,11.66,38.11,8.83,0.87,0.3,8.26,4.57,74.99,38.33,0.04,0.0,0.09,0.0,,,,,822379,3.0,0.0,24.0,0.0,1.0,10.99,9.0,32.08,0.13,0.0,1.04
Batista Mendy,395234.0,2025/2026,La Liga,27,1619,1.0,1.14,-0.14,17.0,5.0,35.0,18.0,93.0,5.0,24.0,148.0,71.0,27.0,16.0,653.0,182.0,565.0,140.0,5.0,2.0,143.0,60.0,1571.3,589.0,5.0,0.0,5.0,0.0,,,,,5.88,0.07,48.0,59.3,86.5,76.9,20.0,11.0,9.8,,79253,10eyb18v5puw4ez03ocaug09m,1.0,,,,,0.06,0.06,0.95,0.28,1.95,1.0,5.17,0.28,1.33,8.23,3.95,1.5,0.89,36.3,10.12,31.41,7.78,0.28,0.11,7.95,3.34,87.35,32.74,0.28,0.0,0.28,0.0,,,,,859021,0.0,0.0,9.0,0.0,0.0,10.56,10.3,33.09,0.0,0.0,0.5
Maxence Caqueret,395237.0,2025/2026,Serie A,30,1487,2.0,2.27,-0.27,18.0,4.0,35.0,13.0,67.0,3.0,4.0,159.0,72.0,20.0,10.0,906.0,316.0,799.0,247.0,20.0,9.0,247.0,100.0,2466.2,938.1,1.0,0.0,7.0,2.0,,,,,11.11,0.13,45.3,50.0,88.2,78.2,25.0,10.0,9.4,,79868,6uzfw7ahyxg4wrrfxo5u7qt0n,5.0,,,,,0.12,0.14,1.09,0.24,2.12,0.79,4.06,0.18,0.24,9.62,4.36,1.21,0.61,54.84,19.13,48.36,14.95,1.21,0.54,14.95,6.05,149.27,56.78,0.06,0.0,0.42,0.12,,,,,859027,3.0,0.0,19.0,0.0,1.0,,,,0.18,0.0,1.15
Antoine Bernede,395512.0,2025/2026,Serie A,32,2315,1.0,1.36,-0.36,21.0,4.0,70.0,14.0,150.0,6.0,18.0,244.0,107.0,38.0,13.0,890.0,348.0,689.0,236.0,21.0,9.0,276.0,145.0,3186.2,1687.6,7.0,0.0,12.0,2.0,,,,,4.76,0.06,43.9,34.2,77.4,67.8,14.3,11.5,11.6,,79964,ap6blbxhq9elm62vw6tutzlwg,3.0,,,,,0.04,0.05,0.82,0.16,2.72,0.54,5.83,0.23,0.7,9.49,4.16,1.48,0.51,34.6,13.53,26.79,9.17,0.82,0.35,10.73,5.64,123.87,65.61,0.27,0.0,0.47,0.08,,,,,837080,0.0,0.0,11.0,0.0,0.0,,,,0.0,0.0,0.43
Samuel Essende,395522.0,2025/2026,Bundesliga,14,403,1.0,1.72,-0.72,17.0,4.0,4.0,0.0,18.0,0.0,2.0,51.0,22.0,47.0,17.0,92.0,36.0,63.0,22.0,3.0,0.0,41.0,23.0,462.5,241.1,8.0,0.0,1.0,0.0,,,,,5.88,0.1,43.1,36.2,68.5,61.1,0.0,11.3,10.5,,80611,ex3psl8e3ajeypwjy4xfltpx6,0.0,,,,,0.22,0.38,3.8,0.89,0.89,0.0,4.02,0.0,0.45,11.39,4.91,10.5,3.8,20.55,8.04,14.07,4.91,0.67,0.0,9.16,5.14,103.29,53.84,1.79,0.0,0.22,0.0,,,,,855808,0.0,2.0,4.0,0.0,5.0,11.08,23.0,33.58,0.0,0.45,0.89
Elisha Owusu,395695.0,2025/2026,Ligue 1,29,2349,0.0,0.16,-0.16,7.0,0.0,69.0,26.0,151.0,9.0,46.0,184.0,101.0,35.0,13.0,865.0,207.0,701.0,149.0,1.0,2.0,142.0,53.0,1353.7,512.6,1.0,0.0,4.0,0.0,,,,,0.0,0.02,54.9,37.1,81.0,72.0,0.0,9.5,9.7,,81379,9bxav814mkuhueiyivyive82d,0.0,,,,,0.0,0.01,0.27,0.0,2.64,1.0,5.79,0.34,1.76,7.05,3.87,1.34,0.5,33.14,7.93,26.86,5.71,0.04,0.08,5.44,2.03,51.87,19.64,0.04,0.0,0.15,0.0,,,,,904424,0.0,0.0,12.0,0.0,0.0,10.25,12.2,34.24,0.0,0.0,0.46
Manor Solomon,396638.0,2025/2026,"La Liga, Serie A, Conference League",24,1146,3.0,1.46,1.54,17.0,7.0,14.0,1.0,50.0,1.0,3.0,120.0,72.0,4.0,1.0,414.0,199.0,371.0,171.0,33.0,1.0,227.0,116.0,2947.8,1333.2,5.0,1.0,12.0,1.0,,,,,20.44,0.09,60.17,25.77,89.46,85.7,19.75,12.92,11.17,,79384,74mcjsm72vr3l9pw2i4qfjchj,1.0,,,,,0.24,0.11,1.34,0.55,1.1,0.08,3.93,0.08,0.24,9.42,5.65,0.31,0.08,32.51,15.63,29.14,13.43,2.59,0.08,17.83,9.11,231.5,104.7,0.39,0.08,0.94,0.08,,,,,862223,4.0,1.0,34.0,0.0,2.0,8.94,16.35,35.08,0.31,0.08,2.67
Sandro Tonali,397033.0,2025/2026,"Premier League, Champions League",46,3498,1.0,2.87,-1.87,50.0,14.0,51.0,45.0,204.0,8.0,49.0,235.0,127.0,33.0,18.0,2140.0,679.0,1801.0,495.0,49.0,4.0,487.0,216.0,5354.0,2248.5,4.0,0.0,7.0,0.0,,,,,2.1,0.06,54.07,55.84,84.15,72.86,27.76,11.07,10.5,,78577,7vn2i2kd35zuetw6b38gw9jsz,8.0,,,,,0.03,0.07,1.29,0.36,1.31,1.16,5.25,0.21,1.26,6.05,3.27,0.85,0.46,55.06,17.47,46.34,12.74,1.26,0.1,12.53,5.56,137.75,57.85,0.1,0.0,0.18,0.0,,,,,892673,9.0,2.0,49.0,0.0,2.0,11.48,16.41,35.59,0.23,0.05,1.26
Sandro Tonali,397033.0,2026/2027,Premier League,4,345,0.0,0.18,-0.18,5.0,1.0,5.0,3.0,16.0,1.0,5.0,21.0,11.0,2.0,2.0,228.0,67.0,203.0,55.0,3.0,4.0,63.0,24.0,626.3,245.5,3.0,0.0,1.0,0.0,,,,,0.0,0.04,52.4,100.0,89.0,82.1,33.3,9.9,10.2,,178948265300141,22doj4sgsocqpxw45h607udje,1.0,,,,,0.0,0.05,1.3,0.26,1.3,0.78,4.17,0.26,1.3,5.48,2.87,0.52,0.52,59.48,17.48,52.96,14.35,0.78,1.04,16.43,6.26,163.38,64.04,0.78,0.0,0.26,0.0,,,,,892673,1.0,0.0,3.0,0.0,2.0,11.24,8.9,32.68,0.26,0.0,0.78
Gideon Mensah,397171.0,2025/2026,Ligue 1,30,2333,0.0,0.0,0.0,1.0,0.0,51.0,28.0,128.0,3.0,72.0,193.0,101.0,29.0,12.0,1104.0,330.0,909.0,242.0,59.0,2.0,283.0,149.0,2969.2,1310.2,0.0,0.0,3.0,0.0,,,,,0.0,0.0,52.3,41.4,82.3,73.3,25.4,10.5,8.8,,81456,9bxav814mkuhueiyivyive82d,15.0,,,,,0.0,0.0,0.04,0.0,1.97,1.08,4.94,0.12,2.78,7.45,3.9,1.12,0.46,42.59,12.73,35.07,9.34,2.28,0.08,10.92,5.75,114.54,50.54,0.0,0.0,0.12,0.0,,,,,844942,3.0,0.0,17.0,0.0,1.0,10.15,16.5,34.43,0.12,0.0,0.66
Gideon Mensah,397171.0,2026/2027,Bundesliga,3,270,0.0,0.13,-0.13,4.0,0.0,3.0,4.0,22.0,0.0,6.0,22.0,7.0,1.0,1.0,119.0,32.0,105.0,27.0,11.0,0.0,42.0,24.0,431.0,183.0,0.0,0.0,0.0,0.0,,,,,0.0,0.03,31.8,100.0,88.2,84.4,18.2,10.3,7.6,,178948265601674,8q1ul09cygzswb7tb456bmifv,2.0,,,,,0.0,0.04,1.33,0.0,1.0,1.33,7.33,0.0,2.0,7.33,2.33,0.33,0.33,39.67,10.67,35.0,9.0,3.67,0.0,14.0,8.0,143.67,61.0,0.0,0.0,0.0,0.0,,,,,844942,0.0,0.0,0.0,0.0,0.0,9.52,11.3,33.09,0.0,0.0,0.0
Alessandro Zanoli,397225.0,2025/2026,Serie A,19,1290,1.0,0.1,0.9,3.0,1.0,25.0,7.0,50.0,4.0,36.0,90.0,44.0,25.0,17.0,348.0,111.0,280.0,87.0,39.0,0.0,110.0,63.0,1449.6,707.2,0.0,0.0,4.0,0.0,,,,,33.33,0.03,48.9,68.0,80.5,78.4,30.8,13.2,11.2,,80178,dxq76zcvnokq07cszdx0i6kve,12.0,,,,,0.07,0.01,0.21,0.07,1.74,0.49,3.49,0.28,2.51,6.28,3.07,1.74,1.19,24.28,7.74,19.53,6.07,2.72,0.0,7.67,4.4,101.13,49.34,0.0,0.0,0.28,0.0,,,,,922928,0.0,0.0,19.0,0.0,1.0,,,,0.0,0.0,1.33
Dani Cárdenas,397676.0,2025/2026,La Liga,4,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,20.0,10.3,3.3,,,,,,,,,,74.1,79704,3budh3j9xivsid3ptm8ptpy4k,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,5.0,2.58,0.82,965832,0.0,0.0,0.0,0.0,0.0,1.25,0.0,23.21,0.0,0.0,0.0
Harvey Barnes,398065.0,2025/2026,"Premier League, Champions League",49,2769,13.0,11.21,1.79,87.0,40.0,18.0,4.0,92.0,2.0,16.0,186.0,73.0,31.0,10.0,795.0,431.0,646.0,337.0,96.0,2.0,391.0,228.0,4724.2,2709.8,21.0,1.0,8.0,2.0,,,,,14.59,0.13,39.28,32.47,81.34,78.33,18.34,12.08,11.88,,78427,7vn2i2kd35zuetw6b38gw9jsz,15.0,,,,,0.42,0.36,2.83,1.3,0.59,0.13,2.99,0.07,0.52,6.05,2.37,1.01,0.33,25.84,14.01,21.0,10.95,3.12,0.07,12.71,7.41,153.55,88.08,0.68,0.03,0.26,0.07,,,,,855647,11.0,13.0,35.0,0.0,9.0,10.61,21.22,35.24,0.36,0.42,1.14
Harvey Barnes,398065.0,2026/2027,Premier League,4,359,1.0,0.52,0.48,6.0,3.0,3.0,3.0,11.0,0.0,7.0,25.0,12.0,3.0,2.0,72.0,38.0,58.0,28.0,3.0,1.0,34.0,16.0,366.3,142.6,2.0,1.0,0.0,0.0,,,,,16.67,0.09,48.0,66.7,80.6,73.7,0.0,10.8,8.9,,178948265300073,7vn2i2kd35zuetw6b38gw9jsz,0.0,,,,,0.25,0.13,1.5,0.75,0.75,0.75,2.76,0.0,1.75,6.27,3.01,0.75,0.5,18.05,9.53,14.54,7.02,0.75,0.25,8.52,4.01,91.83,35.75,0.5,0.25,0.0,0.0,,,,,855647,1.0,1.0,3.0,0.0,0.0,10.98,13.0,33.83,0.25,0.25,0.75
Achraf Hakimi,398073.0,2025/2026,"Ligue 1, Champions League",31,2528,3.0,3.34,-0.34,46.0,16.0,40.0,19.0,133.0,1.0,25.0,183.0,84.0,18.0,10.0,2154.0,854.0,1947.0,758.0,63.0,1.0,424.0,259.0,4603.5,2729.9,10.0,0.0,12.0,3.0,,,,,6.43,0.07,46.3,54.58,90.27,88.85,18.11,10.93,10.56,,81105,2b3mar72yy8d6uvat1ka6tn3r,9.0,,,,,0.11,0.12,1.64,0.57,1.42,0.68,4.73,0.04,0.89,6.52,2.99,0.64,0.36,76.69,30.4,69.32,26.99,2.24,0.04,15.09,9.22,163.89,97.19,0.36,0.0,0.43,0.11,,,,,814594,5.0,5.0,46.0,0.0,4.0,10.71,20.52,36.35,0.18,0.18,1.64
Achraf Hakimi,398073.0,2026/2027,Ligue 1,4,309,0.0,0.45,-0.45,8.0,1.0,3.0,3.0,21.0,0.0,1.0,35.0,15.0,2.0,2.0,275.0,127.0,241.0,103.0,12.0,0.0,74.0,41.0,746.6,397.9,1.0,0.0,1.0,0.0,,,,,0.0,0.06,42.9,100.0,87.6,81.1,8.3,10.1,9.7,,178948265602002,2b3mar72yy8d6uvat1ka6tn3r,1.0,,,,,0.0,0.13,2.33,0.29,0.87,0.87,6.12,0.0,0.29,10.19,4.37,0.58,0.58,80.1,36.99,70.19,30.0,3.5,0.0,21.55,11.94,217.46,115.89,0.29,0.0,0.29,0.0,,,,,814594,1.0,1.0,5.0,0.0,1.0,10.26,18.9,34.56,0.29,0.29,1.46
Gonzalo Villar,398163.0,2025/2026,La Liga,12,718,1.0,0.22,0.78,4.0,1.0,13.0,2.0,33.0,2.0,7.0,80.0,47.0,18.0,11.0,394.0,167.0,352.0,146.0,7.0,3.0,103.0,55.0,1129.6,589.5,0.0,0.0,1.0,0.0,,,,,25.0,0.05,58.8,61.1,89.3,87.4,0.0,11.0,10.7,,79448,4yg9ttzw0m51048doksv8uq5r,0.0,,,,,0.13,0.03,0.5,0.13,1.63,0.25,4.14,0.25,0.88,10.03,5.89,2.26,1.38,49.39,20.93,44.12,18.3,0.88,0.38,12.91,6.89,141.59,73.89,0.0,0.0,0.13,0.0,,,,,914765,0.0,0.0,4.0,0.0,0.0,10.33,12.3,33.56,0.0,0.0,0.5
Gonzalo Villar,398163.0,2026/2027,La Liga,5,423,0.0,0.21,-0.21,4.0,3.0,10.0,3.0,25.0,0.0,2.0,48.0,31.0,11.0,4.0,256.0,63.0,222.0,49.0,5.0,4.0,70.0,31.0,726.7,239.9,0.0,0.0,2.0,0.0,,,,,0.0,0.05,64.6,36.4,86.7,77.8,60.0,10.4,7.7,,178948265400599,4yg9ttzw0m51048doksv8uq5r,3.0,,,,,0.0,0.04,0.85,0.64,2.13,0.64,5.32,0.0,0.43,10.21,6.6,2.34,0.85,54.47,13.4,47.23,10.43,1.06,0.85,14.89,6.6,154.62,51.04,0.0,0.0,0.43,0.0,,,,,914765,2.0,0.0,6.0,0.0,0.0,10.65,7.4,30.25,0.43,0.0,1.28
Ferran Torres,398184.0,2025/2026,"La Liga, Champions League",43,2333,19.0,16.46,2.54,85.0,44.0,12.0,4.0,41.0,3.0,11.0,120.0,47.0,49.0,30.0,558.0,251.0,419.0,160.0,4.0,4.0,114.0,48.0,1161.6,300.8,12.0,5.0,4.0,0.0,,,,,22.51,0.19,38.64,61.96,75.11,63.8,28.2,10.1,6.21,,79043,agh9ifb2mw3ivjusgedj7c3fe,1.0,,,,,0.73,0.63,3.28,1.7,0.46,0.15,1.58,0.12,0.42,4.63,1.81,1.89,1.16,21.53,9.68,16.16,6.17,0.15,0.15,4.4,1.85,44.81,11.6,0.46,0.19,0.15,0.0,,,,,855833,7.0,25.0,29.0,0.0,15.0,8.85,19.24,34.95,0.27,0.96,1.12
