id,player_id,season,injury,from_date,until_date,days,games_missed,games_missed_clubs
,1000273,26/27,Foot surgery,2026-06-08,,20,7,"78435, 11946"
,1000284,25/26,Back injury,2026-09-04,2026-06-30,83,7,4467
,1000284,25/26,Back injury,2025-06-09,2025-12-12,98,14,"4467, 32270"
,1000284,24/25,unknown injury,2024-06-11,2024-11-28,23,2,71085
,1000284,23/24,unknown injury,2024-03-27,2024-04-04,9,1,71085
,1000301,25/26,Head injury,2026-02-26,2026-05-03,8,1,626
,1000630,25/26,Cruciate ligament tear,2025-10-17,2026-06-17,244,35,13222
,1000674,24/25,Thumb injury,2025-03-01,2025-01-15,13,5,"294, 10330"
,1000674,24/25,Ankle injury,2024-10-15,2024-04-12,51,10,294
