id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
50961,Scottish Premiership,Aberdeen,Leighton Clarkson,6000,312000,7080.0,368160.0,23,"DM, AM C",England,/football/scottish-premiership/aberdeen/
50962,Scottish Premiership,Aberdeen,Ante Palaversa,5500,286000,6490.0,337480.0,25,DM,Croatia,/football/scottish-premiership/aberdeen/
50963,Scottish Premiership,Aberdeen,Kristers Tobers,5000,260000,5900.0,306800.0,24,D C,Latvia,/football/scottish-premiership/aberdeen/
50964,Scottish Premiership,Aberdeen,Stuart Armstrong,4600,239200,5428.0,282256.0,33,AM C,Scotland,/football/scottish-premiership/aberdeen/
50965,Scottish Premiership,Aberdeen,Emmanuel Gyamfi,4300,223600,5074.0,263848.0,20,D/WB/AM L,Germany,/football/scottish-premiership/aberdeen/
50966,Scottish Premiership,Aberdeen,Graeme Shinnie,4200,218400,4956.0,257712.0,33,"D L, DM",Scotland,/football/scottish-premiership/aberdeen/
50967,Scottish Premiership,Aberdeen,Kevin Nisbet,4000,208000,4720.0,245440.0,28,ST,Scotland,/football/scottish-premiership/aberdeen/
50968,Scottish Premiership,Aberdeen,Kusini Yengi,4000,208000,4720.0,245440.0,26,ST,Australia,/football/scottish-premiership/aberdeen/
50969,Scottish Premiership,Aberdeen,Mats Knoester,3900,202800,4602.0,239304.0,26,D C,Netherlands,/football/scottish-premiership/aberdeen/
50970,Scottish Premiership,Aberdeen,Nicolas Milanovic,3900,202800,4602.0,239304.0,23,AM RLC,Australia,/football/scottish-premiership/aberdeen/
50971,Scottish Premiership,Aberdeen,Topi Keskinen,3600,187200,4248.0,220896.0,22,"WB L, AM RL",Finland,/football/scottish-premiership/aberdeen/
50972,Scottish Premiership,Aberdeen,Dimitar Mitov,3400,176800,4012.0,208624.0,28,GK,Bulgaria,/football/scottish-premiership/aberdeen/
50973,Scottish Premiership,Aberdeen,Nicky Devlin,2900,150800,3422.0,177944.0,31,D RC,Scotland,/football/scottish-premiership/aberdeen/
50974,Scottish Premiership,Aberdeen,Marko Lazetic,2900,150800,3422.0,177944.0,21,ST,Serbia,/football/scottish-premiership/aberdeen/
50975,Scottish Premiership,Aberdeen,Peter Ambrose,2800,145600,3304.0,171808.0,23,ST,Nigeria,/football/scottish-premiership/aberdeen/
50976,Scottish Premiership,Aberdeen,Sivert Heltne Nilsen,2600,135200,3068.0,159536.0,33,"D C, DM",Norway,/football/scottish-premiership/aberdeen/
50977,Scottish Premiership,Aberdeen,Alexander Jensen,2500,130000,2950.0,153400.0,23,D/WB RL,Denmark,/football/scottish-premiership/aberdeen/
50978,Scottish Premiership,Aberdeen,Kenan Bilalovic,2000,104000,2360.0,122720.0,20,AM RL,Sweden,/football/scottish-premiership/aberdeen/
50979,Scottish Premiership,Aberdeen,Mitchel Frame,1900,98800,2242.0,116584.0,19,D/WB/AM L,Scotland,/football/scottish-premiership/aberdeen/
50980,Scottish Premiership,Aberdeen,Dante Polvara,1400,72800,1652.0,85904.0,25,"DM, AM LC",U.S.A.,/football/scottish-premiership/aberdeen/
50981,Scottish Premiership,Aberdeen,Gavin Molloy,1200,62400,1416.0,73632.0,23,D LC,Ireland,/football/scottish-premiership/aberdeen/
50982,Scottish Premiership,Aberdeen,Jack Milne,1100,57200,1298.0,67496.0,22,D RC,Scotland,/football/scottish-premiership/aberdeen/
50983,Scottish Premiership,Aberdeen,Kjartan Már Kjartansson,1000,52000,1180.0,61360.0,19,DM,Iceland,/football/scottish-premiership/aberdeen/
50984,Scottish Premiership,Aberdeen,Nick Suman,770,40040,908.6,47247.2,25,GK,Australia,/football/scottish-premiership/aberdeen/
50985,Scottish Premiership,Aberdeen,Dylan Lobban,770,40040,908.6,47247.2,19,"D/WB R, M C",Scotland,/football/scottish-premiership/aberdeen/
50986,Scottish Premiership,Aberdeen,Rodrigo Vitols,330,17160,389.4,20248.8,18,GK,Latvia,/football/scottish-premiership/aberdeen/
50987,Scottish Premiership,Celtic,Kieran Tierney,50000,2600000,59000.0,3068000.0,28,D/WB L,Scotland,/football/scottish-premiership/celtic/
50988,Scottish Premiership,Celtic,Callum McGregor,39000,2028000,46020.0,2393040.0,32,DM,Scotland,/football/scottish-premiership/celtic/
50989,Scottish Premiership,Celtic,Cameron Carter-Vickers,37000,1924000,43660.0,2270320.0,27,D C,U.S.A.,/football/scottish-premiership/celtic/
50990,Scottish Premiership,Celtic,Kelechi Iheanacho,30000,1560000,35400.0,1840800.0,28,ST,Nigeria,/football/scottish-premiership/celtic/
50991,Scottish Premiership,Celtic,Arne Engels,28000,1456000,33040.0,1718080.0,21,"DM, AM C",Belgium,/football/scottish-premiership/celtic/
50992,Scottish Premiership,Celtic,Daizen Maeda,21000,1092000,24780.0,1288560.0,27,"AM RL, ST",Japan,/football/scottish-premiership/celtic/
50993,Scottish Premiership,Celtic,Alistair Johnston,20000,1040000,23600.0,1227200.0,26,D/WB R,Canada,/football/scottish-premiership/celtic/
