name,team,league,apps,minutes,player_id,fotmob_rating,fotmob_mins_played,fotmob_accurate_passes,fotmob_key_passes,fotmob_xa,fotmob_xa_p90,fotmob_xg_xa_p90,fotmob_dribbles_won,defensive_contributions,fotmob_tackles,fotmob_clearances,ball_recovery,fotmob_penalties_conceded,fotmob_clean_sheets,fotmob_save_pct,fotmob_saves,fotmob_goals_prevented,fotmob_goals_conceded,fotmob_fouls,fotmob_yellow_cards,fotmob_interceptions,fotmob_big_chances_created,fotmob_goals,fotmob_goals_assists,fotmob_goals_p90,fotmob_xg,fotmob_xg_p90,fotmob_xgot,fotmob_shots_on_target,fotmob_shots,fotmob_accurate_long_balls,fotmob_big_chances_missed,fotmob_blocks,fotmob_poss_won_att_3rd,fotmob_assists,fotmob_penalties_won,fotmob_red_cards,fotmob_phys_top_speed,fotmob_phys_distance,fotmob_phys_sprints,fotmob_phys_distance_p90,fotmob_phys_sprints_p90,season,row_id,norm_name,source
"Luis Milla",8305,"La Liga",,,638090,7.35,3273,29.7,78,6.3,0.17,0.21,0.6,4.4,1.6,1.4,5.7,,,,,,,0.9,4,1.2,12,1,11,0.03,1.2,0.03,0.7,0.1,0.7,2.2,1,0.2,0.5,10,,1,,,,,,2025/2026,23987,,
"Mauro Arambarri",8305,"La Liga",,,625340,6.92,3255,16.7,22,0.9,0.03,0.22,0.9,3.6,1.9,0.9,4.3,,,,,,,1.7,7,0.6,1,6,8,0.17,7.2,0.2,6.6,0.5,1.6,1.2,6,0.2,0.5,2,,,,,,,,2025/2026,23988,,
"Aar\\u00f3n Escandell",8670,"La Liga",,,534955,7.08,3240,22.8,2,0.1,0,0,0.1,1.4,,1.4,8.3,,10,72.5,4.1,6,1.6,0,3,,1,,1,,,,,,,,,,,1,,,,,,,,2025/2026,23989,,
"Mathew Ryan",8581,"La Liga",,,185644,7.05,3240,22.5,,0.1,0,0.01,,1.3,0.1,1.2,8.4,,9,69.2,3.5,0.7,1.6,,4,0,,,,,0.2,0,,,0.1,,,,,,,,,,,,,2025/2026,23990,,
"Nahuel Tenaglia",9866,"La Liga",,,860314,6.89,3239,32.7,7,0.5,0.01,0.06,0.3,8.9,1.8,5,3.2,1,,,,,,0.9,3,1.3,1,2,2,0.06,1.8,0.05,2.3,0.2,0.7,2.3,1,0.8,0.1,,1,,,,,,,2025/2026,23991,,
"Neal Maupay",8302,"La Liga",,,391064,,870,,14,0.4,,,,,,,,,,,,,,,2,,,2,3,,1.8,,1.3,,,,2,,,1,,,,,,,,2025/2026,24328,,
"Florian Lejeune",8370,"La Liga",,,184521,7.27,3231,51.8,17,0.4,0.01,0.08,0.2,10.3,1.8,6.4,4.7,,,,,,,1.3,7,1.3,2,2,3,0.06,2.3,0.06,3.4,0.5,1.4,4,1,0.8,0.1,1,,,,,,,,2025/2026,23992,,
"Carlos Romero",8558,"La Liga",,,1395964,7.15,3195,22.6,27,3.4,0.1,0.18,1.4,6.4,2.7,2.1,4.9,1,,,,,,1.2,4,1.1,6,6,9,0.17,2.8,0.08,4.1,0.3,1.2,1.4,2,0.5,0.4,3,,,,,,,,2025/2026,23993,,
"Juan Iglesias",8305,"La Liga",,,1102289,6.99,3189,15.7,18,1.8,0.05,0.08,0.8,8.2,3.2,4,3,,,,,,,1.8,4,0.7,3,1,3,0.03,1.1,0.03,1.2,0.1,0.7,2.1,,0.3,0.1,2,,,,,,,,2025/2026,23994,,
"Jeremy Toljan",8581,"La Liga",,,443966,6.59,3173,24.8,28,4.1,0.12,0.14,0.2,5.9,1.9,2.6,2.8,1,,,,,,0.9,8,0.9,11,1,5,0.03,1,0.03,1,0,0.3,1.6,,0.5,0.2,4,,,,,,,,2025/2026,23995,,
"Aleix Febas",10268,"La Liga",,,671686,7.24,3166,49.8,27,3.1,0.09,0.15,1.5,3.7,2.2,0.6,4.9,1,,,,,,1,10,0.8,3,2,4,0.06,2.2,0.06,1.7,0.2,0.7,1.3,1,0.1,0.6,2,,,,,,,,2025/2026,23996,,
"Vitor Reis",7732,"La Liga",,,1580952,6.86,3138,50.2,9,0.4,0.01,0.06,0.2,9.7,1.4,6.2,3.7,,,,,,,1.1,8,0.9,2,1,2,0.03,1.6,0.05,1.5,0.1,0.5,2.2,4,1.1,0.1,1,,1,,,,,,2025/2026,23997,,
"Vedat Muriqi",8661,"La Liga",,,517052,7.2,3134,13.1,23,1.5,0.04,0.58,0.5,2.1,0.3,1.7,2.2,,,,,,,1.2,4,0.1,4,23,24,0.66,18.5,0.53,20.3,1.4,3.3,0.6,19,0.1,0.6,1,1,1,,,,,,2025/2026,23998,,
"Antonio Blanco",9866,"La Liga",,,845998,7.06,3116,45.3,22,1.9,0.06,0.1,0.7,5.8,2.7,1.2,5.9,,,,,,,2.1,9,1.6,2,2,5,0.06,1.4,0.04,1.9,0.4,1.2,3.1,,0.3,0.3,3,,,,,,,,2025/2026,23999,,
"Paulo Gazzaniga",7732,"La Liga",,,278285,6.84,3103,22.2,,0,0,0,,1.3,0,1.3,8.6,1,6,71.2,3.4,2.8,1.4,0,4,,,,,,,,,,,,,,,,,1,,,,,,2025/2026,24000,,
"Alejandro Catena",8371,"La Liga",,,814663,6.86,3073,42.5,12,1.1,0.03,0.11,0.2,9.4,1.2,6.3,3.4,2,,,,,,1.3,11,1,2,3,5,0.09,2.7,0.08,2.2,0.1,0.6,4.5,1,0.9,0,2,,1,,,,,,2025/2026,24001,,
"Augusto Batalla",8370,"La Liga",,,621415,7.05,3060,23.6,2,0.1,0,0,0.1,0.7,0,0.7,8.8,1,11,71.3,2.7,1.2,1.1,0,6,,,,,,,,,,,,,,,,,,,,,,,2025/2026,24002,,
"Jon Moncayola",8371,"La Liga",,,921825,6.93,3028,33.1,39,3.6,0.11,0.17,0.4,4,1.6,1.5,4.8,,,,,,,1.2,9,0.7,9,,4,,2,0.06,0.8,0.1,0.7,2.6,3,0.2,0.3,4,,,,,,,,2025/2026,24003,,
"Jonny Otto",9866,"La Liga",,,360918,6.84,2998,45.7,17,1.9,0.06,0.07,0.8,5.5,2,1.9,4.7,,,,,,,1.1,7,1.2,2,,,,0.5,0.02,0.6,0.1,0.3,1.9,2,0.4,0.3,,,,,,,,,2025/2026,24004,,
"Leo Rom\\u00e1n",8661,"La Liga",,,1187702,6.79,2970,25.2,,0.1,0,0,0,1,0,1,7.1,1,4,66.7,3,2,1.5,0,4,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,24005,,
"Odysseas Vlachodimos",8302,"La Liga",,,304355,6.79,2970,18.7,,0,0,0,0,1.3,,1.3,7.6,,5,63.1,2.7,2.7,1.6,,2,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,24006,,
"Ante Budimir",8371,"La Liga",,,251269,6.88,2953,7.2,16,1.7,0.05,0.57,0.1,2.4,0.6,1.4,1.4,,,,,,,1.6,4,0.2,3,17,17,0.52,17.1,0.52,18,1.2,3.1,0.1,16,0.2,0.3,,2,,,,,,,2025/2026,24007,,
"David Affengruber",10268,"La Liga",,,1073980,7.04,2953,55.3,8,1.6,0.05,0.08,0.4,10,2.3,5.4,4.8,1,,,,,,1,7,1.6,2,1,2,0.03,0.9,0.03,0.8,0.1,0.4,2.2,2,0.8,0.1,1,1,1,,,,,,2025/2026,24008,,
"Domingos Duarte",8305,"La Liga",,,566425,6.79,2928,21.1,2,0.4,0.01,0.04,,9,1,6.5,3,2,,,,,,1,12,1.1,1,1,2,0.03,0.9,0.03,0.4,0.1,0.4,2.5,,0.5,0,1,,,,,,,,2025/2026,24009,,
"Thibaut Courtois",8633,"La Liga",,,170323,7.09,2880,25.3,1,0,0,0,,0.7,0,0.6,7.4,1,13,71.4,2.2,-0.3,0.9,0,1,,1,,,,,,,,,,,,,,,,,,,,,2025/2026,24010,,
"Germ\\u00e1n Valera",10268,"La Liga",,,1102708,7.12,2869,31.6,45,5.3,0.17,0.25,1.2,4.1,1.7,1.4,4.1,,,,,,,1.3,5,0.7,13,4,9,0.13,2.6,0.08,2.6,0.3,0.9,0.8,3,0.3,0.6,5,1,1,,,,,,2025/2026,24011,,
"Pablo Fornals",8603,"La Liga",,,683450,7.45,2865,49,85,5.9,0.19,0.31,0.8,3,1.2,0.6,5,,,,,,,1,2,1.1,10,9,15,0.28,3.9,0.12,5.4,0.6,1.4,2.9,2,0.1,0.9,6,,,,,,,,2025/2026,24012,,
"Mikel Jauregizar",8315,"La Liga",,,1553099,6.78,2843,34.2,28,2.5,0.08,0.14,0.3,4.6,2.2,0.9,5.4,,,,,,,1.6,4,1.5,1,2,2,0.06,1.8,0.06,1.9,0.3,1.2,1.7,,0.1,0.7,,,1,,,,,,2025/2026,24013,,
"Omar El Hilali",8558,"La Liga",,,1208708,6.73,2828,31.9,17,2,0.06,0.07,0.2,7.2,2.3,3,3.1,1,,,,,,1.4,9,1.3,3,,2,,0,0,,,0,2,,0.5,0.1,2,,,,,,,,2025/2026,24014,,
"Vin\\u00edcius J\\u00fanior",8633,"La Liga",,,846033,7.65,2825,29.9,70,5.6,0.18,0.61,2.8,1,0.9,0,2.8,,,,,,,1.2,8,0.1,7,16,21,0.51,13.6,0.43,15.5,1.5,3.2,1.2,13,,0.7,5,4,,,,,,,2025/2026,24015,,
"Manuel S\\u00e1nchez",8581,"La Liga",,,1052330,6.73,2818,23.9,17,1.8,0.06,0.08,0.4,6.4,2.6,2.6,3.4,,,,,,,1.1,8,1,3,1,3,0.03,0.8,0.02,0.6,0.1,0.4,0.9,1,0.2,0.3,2,,,,,,,,2025/2026,24016,,
Natan,8603,"La Liga",,,1188375,6.77,2810,40.5,7,0.2,0.01,0.02,0.1,9.9,1,7,3.2,,,,,,,0.9,8,1.2,,,,,0.5,0.02,0.4,0,0.3,1.6,,0.7,0.1,,,,,,,,,2025/2026,24017,,
"Andrei Ratiu",8370,"La Liga",,,970578,7.24,2804,34.8,43,4.5,0.14,0.22,2,6.3,2.2,2.6,5.2,1,,,,,,0.7,9,1.2,10,,4,,2.3,0.07,1.4,0.3,1,1.2,3,0.2,0.3,4,,,,,,,,2025/2026,24018,,
"Jon Aramburu",8560,"La Liga",,,1249284,6.91,2778,33.7,11,0.9,0.03,0.09,0.4,8.3,3.4,3.1,3.9,2,,,,,,2.2,11,1.5,,1,1,0.03,1.9,0.06,1.3,0.2,0.7,1.3,2,0.3,0.2,,,,,,,,,2025/2026,24019,,
"Marcos Alonso",9910,"La Liga",,,196169,7.11,2770,69.7,13,2,0.06,0.13,0.6,8,1.3,5.2,5,2,,,,,,0.7,5,0.9,3,1,1,0.03,2.2,0.07,1.1,0.1,0.8,4.5,1,0.6,0.1,,,,,,,,,2025/2026,24020,,
"Federico Valverde",8633,"La Liga",,,743533,7.6,2746,56.2,43,4.7,0.16,0.25,0.8,4.1,1.3,1.7,4.7,,,,,,,0.6,3,0.8,8,5,13,0.16,2.9,0.09,4.4,0.7,1.7,2.2,1,0.3,0.4,8,,1,,,,,,2025/2026,24021,,
"Eric Garc\\u00eda",8634,"La Liga",,,940573,7.41,2730,71.4,31,2.4,0.08,0.18,0.1,6.8,2.4,2.6,3.7,1,,,,,,1.1,6,1.6,3,1,3,0.03,3,0.1,2.2,0.2,0.8,2.3,3,0.2,0.3,2,,,,,,,,2025/2026,24022,,
"Toni Mart\\u00ednez",9866,"La Liga",,,640123,7.03,2725,12.9,24,2.2,0.07,0.45,0.6,2.3,0.9,1.2,2.8,,,,,,,1.5,2,0.1,6,14,17,0.46,11.4,0.38,11,1.2,3.1,0.3,10,0.1,0.8,3,2,,,,,,,2025/2026,24023,,
"Johan Mojica",8661,"La Liga",,,474673,6.88,2725,31.6,36,3.5,0.12,0.13,0.5,5.4,1.7,2.8,5.9,,,,,,,1,6,0.8,6,,4,,0.5,0.02,0.2,0.1,0.6,2.2,1,0.2,0.3,4,,1,,,,,,2025/2026,24024,,
"Mikel Oyarzabal",8560,"La Liga",,,678234,7.29,2714,19.8,42,3.6,0.12,0.63,1.2,2.1,1,0.9,3.1,,,,,,,0.9,3,0.1,13,15,19,0.5,15.2,0.51,15.1,1.2,2.6,0.6,17,0.1,0.8,4,,,,,,,,2025/2026,24025,,
"Adri\\u00e1n De La Fuente",8581,"La Liga",,,952528,6.92,2710,40.6,18,1.9,0.06,0.2,0.2,9.3,1,5.9,2.9,2,,,,,,1.2,5,1.6,3,3,4,0.1,4.2,0.14,3.7,0.3,1.3,6,4,0.7,0.1,1,,,,,,,,2025/2026,24026,,
"Yuri Berchiche",8315,"La Liga",,,80295,7.13,2709,42.9,30,4.7,0.16,0.17,0.3,6,1.4,3.4,4.8,2,,,,,,0.9,5,1.2,7,,6,,0.6,0.02,0.2,0.2,0.8,1.9,,0.1,0.3,6,,,,,,,,2025/2026,24027,,
"Pau Cubars\\u00ed",8634,"La Liga",,,1532137,7.28,2708,87.3,5,0.7,0.02,0.04,0,7.7,1.4,4.9,3.5,,,,,,,0.8,3,1,1,1,1,0.03,0.5,0.02,0.5,0.1,0.3,2.4,,0.4,,,,,,,,,,2025/2026,24028,,
"Sergio G\\u00f3mez",8560,"La Liga",,,844477,7.04,2705,43.5,45,5.7,0.19,0.23,0.4,6.6,2.9,2.4,5,,,,,,,1.5,5,1,14,,6,,1.1,0.04,,,0.4,2.1,2,0.2,0.2,6,,1,,,,,,2025/2026,24029,,
"Sam\\u00fa",8661,"La Liga",,,1130583,7.01,2705,33.7,17,1.1,0.04,0.17,0.5,6.5,2.2,3,3.9,,,,,,,2.1,11,0.9,2,7,9,0.23,4,0.13,5.5,0.5,1.3,2.3,2,0.4,0.4,2,,,,,,,,2025/2026,24030,,
"Jan Oblak",9906,"La Liga",,,177126,7.01,2700,21.7,,0,0,0,,0.8,,0.8,8.4,,11,70.8,2.5,0.9,1,,,,,,,,,,,,,,,,,,,,,,,,,2025/2026,24031,,
"Joan Garc\\u00eda",8634,"La Liga",,,1167220,7.73,2700,25.6,,0,0,0,0,1.6,0.2,1.3,9.2,,15,77.9,2.5,10.2,0.7,,1,0.1,,,,,,,,,,,,,,,,,,,,,,2025/2026,24032,,
"Lucien Agoum\\u00e9",8302,"La Liga",,,971790,6.93,2693,35.3,28,1.5,0.05,0.08,0.4,5.4,2.3,1.3,4.7,,,,,,,1.9,12,1.6,8,1,4,0.03,0.9,0.03,0.8,0.1,0.5,2.2,,0.2,0.3,3,,,,,,,,2025/2026,24033,,
"Sergio Carreira",9910,"La Liga",,,1106742,6.96,2693,43.1,19,2,0.07,0.12,0.9,4.2,1.1,2.2,3.6,1,,,,,,0.7,2,0.8,1,2,3,0.07,1.6,0.05,1.3,0.2,0.5,1.9,2,0.1,0.2,1,,,,,,,,2025/2026,24034,,
"Sergi Darder",8661,"La Liga",,,282472,7,2689,32.8,58,4.9,0.17,0.23,1.1,2.6,0.9,0.6,4.3,,,,,,,0.7,3,0.9,13,1,6,0.03,2,0.07,1,0.4,1.2,2.7,2,0.2,0.4,5,,,,,,,,2025/2026,24035,,
"Pep Chavarr\\u00eda",8370,"La Liga",,,988805,6.86,2681,36.3,27,3.3,0.11,0.13,0.6,6.2,1.8,2.9,4.8,2,,,,,,1.1,4,1,5,1,3,0.03,0.6,0.02,0.2,0.1,0.6,2,1,0.5,0.1,2,,1,,,,,,2025/2026,24036,,
"Arnau Mart\\u00ednez",7732,"La Liga",,,1194892,7.06,2678,40.9,24,1.8,0.06,0.12,0.4,8.2,2.2,4.2,3.9,,,,,,,0.8,6,1.4,7,2,5,0.07,1.6,0.05,0.9,0.1,0.6,2.3,1,0.4,0.1,3,,,,,,,,2025/2026,24037,,
"Pablo Maffeo",8661,"La Liga",,,673356,7.07,2672,24,20,1.9,0.06,0.08,1.1,7.5,2.3,3.3,3.7,,,,,,,0.9,11,1.2,3,1,3,0.03,0.4,0.01,0.3,0,0.2,1.6,,0.7,0.2,2,,,,,,,,2025/2026,24038,,
"V\\u00edctor Mu\\u00f1oz",8371,"La Liga",,,1553105,6.9,2668,17,27,3.2,0.11,0.31,2.5,1.7,0.7,0.7,3.2,,,,,,,1.1,3,0.3,2,6,8,0.2,5.9,0.2,7.5,1,2.7,0.2,9,,0.7,2,1,,,,,,,2025/2026,24039,,
"Viktor Tsigankov",7732,"La Liga",,,564847,7.19,2641,28.1,55,3.9,0.13,0.37,0.9,2.9,1.1,1,2.8,,,,,,,0.7,3,0.7,4,6,11,0.2,6.8,0.23,6.5,0.7,1.7,1,6,0.1,0.1,5,,,,,,,,2025/2026,24040,,
"Luis Rioja",10267,"La Liga",,,638070,6.91,2636,22.5,38,4.7,0.16,0.24,1.2,3,1.2,1.2,3.5,,,,,,,0.4,1,0.6,7,3,9,0.1,2.3,0.08,1.9,0.2,1.5,0.9,1,,0.7,6,,,,,,,,2025/2026,24041,,
"Urko Gonz\\u00e1lez",8558,"La Liga",,,1187767,6.63,2629,27.2,10,0.7,0.02,0.05,0.5,5.4,1.9,2,4.9,,,,,,,1.4,7,1.1,,,1,,0.7,0.02,0.2,0,0.6,1,,0.4,0.2,1,,,,,,,,2025/2026,24042,,
"Aur\\u00e9lien Tchouam\\u00e9ni",8633,"La Liga",,,914458,7.37,2622,60.1,25,3,0.1,0.19,0.1,6.3,2.3,1.9,4.9,,,,,,,1.1,8,1.6,4,1,1,0.03,2.7,0.09,1.8,0.2,1.5,2.3,4,0.4,0.3,,,,,,,,,2025/2026,24043,,
"Daley Blind",7732,"La Liga",,,161012,6.86,2610,64.9,11,1.1,0.04,0.05,0.4,8.3,1.9,4.3,4.9,3,,,,,,0.7,1,1.3,1,,,,0.3,0.01,0,0,0.2,4.5,,0.7,0.1,,,,,,,,,2025/2026,24044,,
"Kylian Mbapp\\u00e9",8633,"La Liga",,,701154,8.02,2604,29.8,65,6.2,0.21,1.04,2.7,0.2,0.1,,1.5,,,,,,,0.4,4,0.1,8,25,30,0.86,23.9,0.83,22,2.2,5,1.2,21,,0.7,5,4,,,,,,,2025/2026,24045,,
"C\\u00e9sar T\\u00e1rrega",10267,"La Liga",,,1311985,6.7,2597,39.5,2,0.1,0,0.03,0.3,9.8,1.5,6.7,2.9,1,,,,,,1.4,8,1,,,,,0.6,0.02,0.2,0,0.4,2.1,1,0.7,,,,,,,,,,2025/2026,24046,,
"Juan Hern\\u00e1ndez",8603,"La Liga",,,852071,7.12,2592,16.4,34,2.4,0.08,0.47,1,2.2,1,0.9,2.8,,,,,,,0.8,5,0.3,8,11,14,0.38,11.1,0.38,11,0.9,3.1,1.1,10,0.1,0.8,3,,,,,,,,2025/2026,24047,,
"Djen\\u00e9",8305,"La Liga",,,421365,6.71,2585,21.8,2,0.2,0.01,0.01,0.3,7.9,1.3,5,3.8,,,,,,,1.2,10,1.2,,,,,0.1,0,,,0.1,1.8,,0.3,0.1,,1,2,,,,,,2025/2026,24048,,
"Jos\\u00e9 \\u00c1ngel Carmona",8302,"La Liga",,,1281461,6.86,2564,33.2,22,1.9,0.07,0.09,0.7,6.5,2.3,2.5,5.1,2,,,,,,1.7,13,1.4,4,1,4,0.04,0.8,0.03,0.2,0.1,0.7,1.6,1,0.3,0.2,3,,,,,,,,2025/2026,24049,,
"Daniel Vivian",8315,"La Liga",,,940743,6.58,2563,40.5,6,0.8,0.03,0.07,0.2,8.5,1.9,5,4.6,1,,,,,,1.3,8,1.1,3,1,1,0.04,1.2,0.04,1.7,0.2,0.6,3.3,2,0.5,0.1,,,1,,,,,,2025/2026,24050,,
"Javi Rodr\\u00edguez",9910,"La Liga",,,1435439,6.73,2561,58.5,10,0.8,0.03,0.05,0.3,6.3,1.3,3.4,2.5,1,,,,,,1.2,5,0.9,2,,1,,0.7,0.02,0.2,0.1,0.5,2,1,0.6,0.1,1,,,,,,,,2025/2026,24051,,
"\\u00c1lex Moreno",7732,"La Liga",,,477588,6.88,2558,31,16,2.1,0.08,0.13,1.2,6.6,1.5,3.7,3.6,1,,,,,,1.1,5,1.1,6,,3,,1.5,0.05,1.4,0.2,0.6,0.7,2,0.4,0.4,3,,,,,,,,2025/2026,24052,,
"Valentin Rosier",8371,"La Liga",,,763970,6.99,2554,30.1,16,2,0.07,0.09,1,6.4,1.7,3.1,5.4,,,,,,,1.2,4,1.5,4,1,2,0.04,0.7,0.02,0.6,0.1,0.7,1.2,1,0.1,0.2,1,,1,,,,,,2025/2026,24053,,
"Flavien Boyomo",8371,"La Liga",,,1187734,6.83,2545,40.1,9,1,0.04,0.07,0.1,7.4,2.1,4.3,4.5,2,,,,,,1.2,7,0.6,2,1,3,0.04,1,0.04,1,0.1,0.4,1.9,,0.5,0.1,2,,,,,,,,2025/2026,24054,,
"Edu Exp\\u00f3sito",8558,"La Liga",,,837089,7.14,2542,27.4,82,6.8,0.24,0.32,1.2,4,1.9,1.3,4.2,,,,,,,1,9,0.8,11,1,7,0.04,2.3,0.08,1.8,0.5,1.6,2.2,3,0.1,0.5,6,,,,,,,,2025/2026,24055,,
"Iv\\u00e1n Martin",7732,"La Liga",,,967871,6.87,2538,44.7,25,2.1,0.07,0.1,1.1,3.9,2.2,1,5.2,,,,,,,1.1,3,0.6,2,,1,,0.9,0.03,0.5,0.2,0.5,2.4,2,0.1,0.5,1,1,1,,,,,,2025/2026,24056,,
"Thiago Pitarch",8633,"La Liga",,,1796908,,596,,6,0.4,,,,,,,,,,,,,,,2,,2,,2,,0.4,,0.2,,,,,,,2,,,,,,,,2025/2026,24376,,
"Axel Witsel",7732,"La Liga",,,39591,6.96,2533,47.5,17,1.2,0.04,0.13,0.4,4.8,1.3,2,5.9,,,,,,,1.2,1,1.1,2,1,3,0.04,2.4,0.08,2,0.2,0.7,1.4,5,0.4,0.4,2,,1,,,,,,2025/2026,24057,,
"\\u00c1lvaro Vall\\u00e9s",8603,"La Liga",,,999171,7.02,2520,22,,0,0,0,0,1.4,,1.4,7.4,,8,71,3.1,-1.8,1.3,,1,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,24058,,
"Luiz J\\u00fanior",10205,"La Liga",,,1187044,7.08,2520,15.4,,0,0,0,,2.1,,2.1,8.8,2,8,70.9,2.6,-0.6,1.1,0.1,3,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,24059,,
"Marc Aguado",10268,"La Liga",,,1392232,6.88,2514,43.1,11,0.6,0.02,0.03,,6,1.7,2,3.5,,,,,,,0.9,3,1.5,1,1,3,0.04,0.2,0.01,0.6,0.1,0.1,1.1,,0.8,0.4,2,,,,,,,,2025/2026,24060,,
"Alberto Moleiro",10205,"La Liga",,,1184694,6.96,2490,23.3,37,3.7,0.14,0.34,1.2,2.1,1.1,0.5,4,,,,,,,1.2,4,0.4,9,10,15,0.36,5.8,0.21,6.8,0.7,1.7,0.6,6,0.1,0.5,5,1,,,,,,,2025/2026,24061,,
"Ilaix Moriba",9910,"La Liga",,,1109046,6.85,2488,33.4,17,1.7,0.06,0.11,0.5,5.5,3.1,1.2,3.7,,,,,,,1.4,8,0.9,5,2,5,0.07,1.4,0.05,1.2,0.2,0.7,1.3,2,0.3,0.4,3,1,,,,,,,2025/2026,24062,,
"Jorge de Frutos",8370,"La Liga",,,797901,6.88,2483,10.9,31,2.9,0.1,0.49,1,2,1.1,0.4,2.5,,,,,,,1.2,3,0.4,4,10,11,0.36,10.6,0.39,9.6,1,2.3,0.2,13,,0.5,1,3,,,,,,,2025/2026,24063,,
"Alberto Reina",8670,"La Liga",,,1323510,6.64,2480,32.2,34,2.5,0.09,0.22,0.5,3,1.6,0.5,3.6,1,,,,,,1.3,4,0.7,7,4,5,0.15,3.5,0.13,4.1,0.4,0.9,2.2,3,0.2,0.4,1,,1,,,,,,2025/2026,24064,,
"Renato Veiga",10205,"La Liga",,,1343750,6.67,2478,49.6,3,0.3,0.01,0.02,,8.3,0.7,5.7,3.2,1,,,,,,0.9,5,0.8,,,,,0.3,0.01,0.1,0.1,0.3,3.2,,1.1,0,,,1,,,,,,2025/2026,24065,,
"Jos\\u00e9 Gay\\u00e0",10267,"La Liga",,,391058,6.92,2461,28.3,25,2.5,0.09,0.12,0.4,6.8,2.5,3.1,3.9,,,,,,,1.1,6,0.8,3,1,3,0.04,0.8,0.03,0.5,0.1,0.5,1.2,1,0.3,0.3,2,,1,,,,,,2025/2026,24066,,
Antony,8603,"La Liga",,,967622,7.43,2459,35.9,56,6.1,0.22,0.54,1,3,1.4,0.6,4.5,,,,,,,0.7,6,0.9,10,8,14,0.29,8.8,0.32,7.5,1.2,3.3,0.7,13,0,0.7,6,,1,,,,,,2025/2026,24067,,
"Ilyas Chaira",8670,"La Liga",,,1169595,6.65,2458,20.2,18,1.5,0.06,0.31,1.2,2.6,1.8,0.4,4.2,,,,,,,1.9,2,0.2,3,6,8,0.22,6.9,0.25,7.2,1.3,3,0.4,7,0.2,0.6,2,1,1,,,,,,2025/2026,24068,,
"Federico Vi\\u00f1as",8670,"La Liga",,,1032811,6.98,2451,13.7,27,1.9,0.07,0.39,1.8,3.5,1.8,1,3.3,,,,,,,1.7,5,0.5,5,9,10,0.33,8.7,0.32,8.5,0.8,2.1,0.4,10,0.1,0.3,1,1,3,,,,,,2025/2026,24069,,
"D\\u00e1vid Hancko",9906,"La Liga",,,727897,6.93,2434,47,13,2.1,0.08,0.13,0.3,6.4,1.6,3.7,3.2,1,,,,,,0.6,2,0.7,4,,2,,1.3,0.05,1.2,0.2,0.8,2.5,2,0.4,0.3,2,,,,,,,,2025/2026,24070,,
"Tyrhys Dolan",8558,"La Liga",,,1181101,6.82,2431,17.1,32,4.3,0.16,0.25,1.3,3.4,2.1,0.5,4,,,,,,,1.4,5,0.7,7,2,7,0.07,2.5,0.09,2.8,0.4,1.3,0.1,2,0.1,0.6,5,2,1,,,,,,2025/2026,24071,,
"Santi Comesa\\u00f1a",10205,"La Liga",,,671865,6.97,2413,37.5,27,3.5,0.13,0.29,0.4,5.3,1.7,2,5,1,,,,,,1.6,5,1,3,3,9,0.11,4.2,0.16,3.3,0.3,1,1.6,4,0.6,0.5,6,,1,,,,,,2025/2026,24072,,
"Nicolas P\\u00e9p\\u00e9",10205,"La Liga",,,575735,7.3,2396,27.3,54,6.4,0.24,0.55,2.2,2.7,1.2,0.9,4.1,,,,,,,0.9,4,0.6,13,8,16,0.3,8.3,0.31,8.5,0.9,2.4,0.7,7,0,0.7,8,3,,,,,,,2025/2026,24073,,
"Roberto Fern\\u00e1ndez",8558,"La Liga",,,1252373,6.5,2387,9.6,18,2.7,0.1,0.45,0.3,1.9,0.5,1,2.1,,,,,,,1.5,3,0.3,6,7,10,0.26,9.3,0.35,8.7,0.9,2.2,0.2,8,0.2,0.6,3,1,,,,,,,2025/2026,24074,,
"Santiago Mouri\\u00f1o",10205,"La Liga",,,1407468,7.28,2384,39.2,8,0.5,0.02,0.06,0.5,10.1,3.9,4.8,5.4,,,,,,,2,9,1.1,1,1,3,0.04,1.1,0.04,1,0.1,0.6,1.5,,0.3,0.2,2,,1,,,,,,2025/2026,24075,,
"Gorka Guruzeta",8315,"La Liga",,,711231,6.74,2371,13.3,26,1.9,0.07,0.47,0.3,1.9,0.7,0.7,2.2,,,,,,,1.9,4,0.5,7,10,13,0.38,10.5,0.4,9.9,1.2,3.2,0.6,10,0.1,0.7,3,,1,,,,,,2025/2026,24076,,
"Nemanja Gudelj",8302,"La Liga",,,178753,6.71,2348,37.4,7,0.4,0.02,0.07,0.2,7.9,1.3,4.9,3.1,,,,,,,1.5,9,1,1,2,2,0.08,1.3,0.05,1.6,0.3,1.2,2.1,,0.7,0.1,,,,,,,,,2025/2026,24077,,
"Alvaro Carreras",8633,"La Liga",,,1190025,7.52,2334,60.2,29,1.5,0.06,0.07,0.7,5.7,1.6,2.3,6,,,,,,,0.8,5,1.5,1,2,5,0.08,0.5,0.02,1.4,0.1,0.3,1.3,1,0.3,0.3,3,1,1,,,,,,2025/2026,24078,,
