player_id,name,national_team,is_international
1137667,"Piero Hincapi\\u00e9",Ecuador,t
1173787,"Xavi Simons",Netherlands,t
1185748,"Amadou Onana",Belgium,t
1251334,"Jack Hinshelwood","England Under 18",t
1358581,"Leny Yoro","France U21",f
1609213,"Mateus Man\\u00e9","England Under 18",t
167008,"Pascal Gro\\u00df",Germany,t
191869,"Kieran Trippier",England,t
255610,"Harry Maguire",England,t
295067,"Will Hughes","England U21",f
312765,"Jack Grealish",England,t
521148,"Jacob Murphy","England U21",f
682548,"Ola Aina",Nigeria,t
792645,"Pau Torres",Spain,t
823825,"Randal Kolo Muani",France,t
868344,"Tijjani Reijnders",Netherlands,t
881640,"Lutsharel Geertruida",Netherlands,t
966026,"Ian Maatsen",Netherlands,t
967941,"Mads Hermansen",Denmark,t
1073977,"Benjamin Sesko",Slovenia,t
1105912,"Riccardo Calafiori",Italy,t
1215652,"Omari Hutchinson",Jamaica,t
1238058,"Bashir Humphreys","England Under 16",t
1292810,"Kobbie Mainoo",England,t
1352713,"Carlos Baleba",Cameroon,t
1460534,"Junior Kroupi","France U21",f
620026,"Hee-Chan Hwang","South Korea",t
623716,"Josh Cullen",Ireland,t
637656,"Lucas Perri",Brazil,t
662428,"Antonee Robinson",USA,t
675088,Rodri,Spain,t
688273,"Vitaly Janelt","Germany U21",f
754126,"Kevin Danso",Austria,t
766435,"Lucas Paquet\\u00e1",Brazil,t
831044,"Hjalmar Ekdal",Sweden,t
865931,"Max Kilman",,f
891743,"Mohammed Kudus",Ghana,t
915797,"Noah Okafor",Switzerland,t
1021929,"Jacob Ramsey","England Under 18",t
1079485,Beto,Guinea-Bissau,t
1203512,"Tim Iroegbunam","England U20",f
1280132,"Nico Gonz\\u00e1lez","Spain U21",f
1296763,"Lewis Miley","England U21",f
1323305,"Archie Gray","England Under 16",t
1368654,"Chemsdine Talbi",Morocco,t
1526560,"Patrick Dorgu",Denmark,t
419664,"Tyrone Mings",England,t
534670,"Martin \\u00d8degaard",Norway,t
562892,"Rico Henry",Jamaica,t
734042,"Kyle Walker-Peters",England,t
816325,"Boubacar Kamara",France,t
823658,"Valent\\u00edn Castellanos",Argentina,t
881500,"Lyle Foster","South Africa",t
1013277,"Toti Gomes",Portugal,t
1052898,"Destiny Udogie",Italy,t
1053838,Morato,,f
1070712,"Josko Gvardiol",Croatia,t
1072864,"Tolu Arokodare",Nigeria,t
1107280,"Pape Sarr",Senegal,t
1107910,"Valentino Livramento",England,t
1134871,"Maxim De Cuyper",Belgium,t
1285866,"Habib Diarra",Senegal,t
1288111,"Mathys Tel","France U21",f
1291325,"Lucas Pires",,f
1362998,"Abdukodir Khusanov",Uzbekistan,t
1664722,"Jaydee Canvot","France U21",f
184321,"Callum Wilson",England,t
357880,"Andrew Robertson",Scotland,t
674014,"David Brooks",Wales,t
690149,"Axel Tuanzebe","DR Congo",t
696646,"Axel Disasi",France,t
769166,"Jean-Ricner Bellegarde",Haiti,t
827315,"Nicol\\u00e1s Dominguez",Argentina,t
847983,"Lisandro Mart\\u00ednez",Argentina,t
935728,"Ao Tanaka",Japan,t
966027,"Conor Gallagher",England,t
979752,"Bafod\\u00e9 Diakit\\u00e9","France U23",f
1022649,"Dan Ndoye",Switzerland,t
1050166,"Anthony Elanga",Sweden,t
1080983,"Ilia Gruev",Bulgaria,t
1084981,"Noni Madueke",England,t
1113785,"Hannibal Mejbri",Tunisia,t
1203665,"Alejandro Garnacho",Argentina,t
1283034,"Loum Tchaouna","France U21",f
1372921,"Andrey Santos",Brazil,t
1422593,"Joshua King",England,t
160447,"Adam Smith","England U21",f
189982,"Fabian Sch\\u00e4r",Switzerland,t
279490,"James Ward-Prowse",England,t
280287,"Sam Johnstone",England,t
304455,"Jo\\u00ebl Veltman",Netherlands,t
519835,"Adam Armstrong","England U20",f
637744,"Marcus Edwards","England U19",f
688300,"Samuel Chukwueze",Nigeria,t
769895,"Matthijs de Ligt",Netherlands,t
861197,"Lukas Nmecha",Germany,t
887703,"Wilson Isidor",Haiti,t
939542,"Dwight McNeil","England U21",f
1021586,"Gabriel Martinelli",Brazil,t
1023030,"Jhon Arias",Colombia,t
1079557,"Amine Adli",Morocco,t
1113903,"Liam Delap","England Under 18",t
1114979,"Emmanuel Agbadou","Ivory Coast",t
1206287,"Freddie Potts",,f
1413846,"Jorrel Hato",Netherlands,t
1478295,Rayan,Brazil,t
439369,"Ryan Christie",Scotland,t
574645,"Mikel Merino",Spain,t
591734,"Dominic Solanke",England,t
655575,"Jacob Bruun Larsen",Denmark,t
746395,"Aaron Ramsdale",England,t
750032,"Mason Mount",England,t
775539,"Noussair Mazraoui",Morocco,t
820024,"Sean Longstaff",,f
860975,"Joseph Willock","England U20",f
933845,"Rayan A\\u00eft-Nouri",Algeria,t
966018,"Jeremie Frimpong",Netherlands,t
1049679,"David M\\u00f8ller Wolfe",Norway,t
1113790,"Oscar Bobb",Norway,t
1128945,"Rodrigo Muniz",,f
1190033,"Lamare Bogarde","Netherlands Under 18",t
1298907,"Cristhian Mosquera",Spain,t
1318400,Kevin,"Brazil U20",f
1341387,"Wilson Odobert","France U21",f
1385894,"Soungoutou Magassa","France U23",f
1622290,"Nicol\\u00f2 Savona",Italy,t
169719,"Chris Wood","New Zealand",t
215384,"Ross Barkley",England,t
258269,"Victor Nilsson Lindel\\u00f6f",Sweden,t
562724,"Lewis Cook",England,t
786580,"Marshall Munetsi",Zimbabwe,t
787350,"Douglas Luiz",Brazil,t
794253,"Justin Kluivert",Netherlands,t
821728,"Jorge Cuenca",Spain,t
846381,"Jadon Sancho",England,t
948800,"Giorgi Mamardashvili",Georgia,t
1035614,"Manuel Ugarte",Uruguay,t
1077975,"Armando Broja",Albania,t
1087966,"Evann Guessand","Ivory Coast",t
1113690,"Conor Bradley","Northern Ireland",t
1174337,Savinho,Brazil,t
1192166,"Rodrigo Gomes","Portugal Under 16",t
1227326,Pablo,,f
1386775,"Lucas Bergvall",Sweden,t
1559639,"Ayden Heaven","England Under 18",t
1580774,"Est\\u00eav\\u00e3o",Brazil,t
38807,"James Milner",England,t
182962,"Tom Cairney",Scotland,t
239920,"Matt Doherty",Ireland,t
417068,"Nathan Ak\\u00e9",Netherlands,t
613715,"Olivier Boscagli","France U21",f
683402,"Tosin Adarabioyo",,f
690107,"Alexander Isak",Sweden,t
696443,"Issa Diop",Morocco,t
776151,"Ben White",England,t
839204,"Omar Marmoush",Egypt,t
1002039,"Aaron Hickey",Scotland,t
1030829,"Jarrad Branthwaite",England,t
1128965,"Charly Alcaraz",Argentina,t
1210384,"Merlin R\\u00f6hl","Germany U21",f
1258092,"William Osula",Denmark,t
1327319,"Chris Rigg","England Under 18",t
1336751,"Justin Devenny","Northern Ireland",t
1391052,"Eliezer Mayenda","Spain U21",f
1406436,"Myles Lewis-Skelly",England,t
1430151,"Brajan Gruda",Germany,t
157838,"Nathaniel Clyne",England,t
195782,"Marco Bizot",Netherlands,t
303059,"Bertrand Traor\\u00e9","Burkina Faso",t
480253,"Luke O'Nien",,f
568571,"Joseph Gomez",England,t
660301,"Donyell Malen",Netherlands,t
717176,"Daniel James",Wales,t
724306,"Yves Bissouma",Mali,t
749736,"Kai Havertz",Germany,t
775614,"Ryan Yates",,f
866967,"Altay Bayindir",Turkiye,t
950830,"Joshua Zirkzee",Netherlands,t
1079539,"Dilane Bakwa","France U21",f
1187506,"Chadi Riad",Morocco,t
1227012,"Simon Adingra","Ivory Coast",t
1315319,"Ollie Scarles","England Under 18",t
1341475,"Anton\\u00edn Kinsky",Czechia,t
1400216,"Josh Acheampong","England Under 18",t
1559637,"Harrison Armstrong","England Under 18",t
1597668,"Rio Ngumoha",England,t
263653,"John Stones",England,t
276791,"Niclas F\\u00fcllkrug",Germany,t
576165,"Gabriel Jesus",Brazil,t
643717,"Taiwo Awoniyi",Nigeria,t
666857,"Yoane Wissa","DR Congo",t
671331,"Leon Bailey",Jamaica,t
716687,"Joe Worrall","England Under 18",t
749834,"John Victor",Brazil,t
848667,"Angel Gomes",England,t
860920,"Edward Nketiah",England,t
922892,"Sebastiaan Bornauw",Belgium,t
955376,"Beno\\u00eet Badiashile",France,t
1010733,"Ki-Jana Hoever","Netherlands U21",f
1107286,"Wilfried Gnonto",Italy,t
1113692,"Jamie Gittens","England Under 18",t
1123947,"Romaine Mundle",,f
1203661,"Radu Dragusin",Romania,t
1287010,"Nilson Angulo",Ecuador,t
1288450,"Rico Lewis",England,t
1391209,"Jair Cunha","Brazil U20",f
189103,"Daniel Bentley",,f
276729,"Stefan Ortega",Germany,t
493647,"Adama Traor\\u00e9",Spain,t
623621,"Oleksandr Zinchenko",Ukraine,t
711357,"Ethan Pinnock",Jamaica,t
749661,"Tammy Abraham",England,t
784510,"Federico Chiesa",Italy,t
1107648,"James McAtee","England Under 18",t
1118480,"Dennis Cirkin",Latvia,t
1155130,"Luca Netz","Germany U21",f
1186615,"Melker Ellborg",Sweden,t
1187213,"James Trafford",England,t
1190867,"Rom\\u00e9o Lavia",Belgium,t
1200984,"Filip J\\u00f6rgensen",Denmark,t
1292833,"Tyler Dibling","England Under 18",t
1307639,"Max Weiss","Germany U21",f
1412137,"Marc Guiu","Spain U21",f
1424875,"Tyrique George","England Under 18",t
1561249,"Charalampos Kostoulas",Greece,t
1666977,"Veljko Milosavljevic",Serbia,t
202643,"Wataru Endo",Japan,t
464486,"Enes \\u00dcnal",Turkiye,t
582276,"Freddie Woodman","England U21",f
586768,"Guido Rodr\\u00edguez",Argentina,t
617310,"Nayef Aguerd",Morocco,t
751649,"Jack Harrison","England U21",f
792540,"Jo\\u00ebl Piroe",Suriname,t
863359,"Andy Irving",Scotland,t
866686,"Matthew O'Riley",Denmark,t
1060617,"Oliver Sonne",Peru,t
1096400,"Levi Colwill",England,t
1112684,"Nathan Patterson",Scotland,t
1254234,"Ethan Nwaneri",England,t
1296769,"Zach Abbott","England Under 18",t
1321562,"Diego Coppola",Italy,t
1573122,"Fer L\\u00f3pez","Spain U21",f
1580704,"Christantus Uche",Nigeria,t
1610952,"Pedro Lima","Brazil U17",f
1635773,"Max Dowman","England Under 16",t
1636513,Souza,"Brazil U17",f
239219,"Mateo Kovacic",Croatia,t
266520,"Christian N\\u00f8rgaard",Denmark,t
276121,"Ben Davies",Wales,t
418137,"Arthur Masuaku","DR Congo",t
622091,"Borna Sosa",Croatia,t
748382,"Reiss Nelson","England U21",f
768331,"Igor Julio",,f
963964,"Harvey Elliott","England U21",f
963965,"F\\u00e1bio Carvalho","England Under 18",t
1203192,"Jenson Seelt","Netherlands U19",f
1212630,"Lorenzo Lucca",Italy,t
1324871,"Ben Gannon-Doak",Scotland,t
1414691,"Max Alleyne","England Under 18",t
1423616,"Stefanos Tzimas","Greece U21",f
1426170,"Mamadou Sarr",Senegal,t
1446616,"Harry Howell","England Under 18",t
1449690,"Alex T\\u00f3th",Hungary,t
1458757,"Luis Guilherme","Brazil Under 16",t
1575707,"Jack Fletcher","England Under 18",t
1624950,"Ezra Mayers","England U19",f
107280,"Ashley Barnes",,f
259306,"Emil Krafth",Sweden,t
317564,"Kepa Arrizabalaga",Spain,t
448897,"Walter Ben\\u00edtez",Argentina,t
502420,"Harrison Reed","England Under 22",t
760746,"Angus Gunn",Scotland,t
850962,"H\\u00e1kon Rafn Valdimarsson",Iceland,t
856685,"Frank Onyeka",Nigeria,t
1067168,"Zeki Amdouni",Switzerland,t
1095445,"Arnaud Kalimuendo-Muinga","France U23",f
1276312,"Antoni Milambo","Netherlands Under 18",t
1310131,"Tom Watson","England Under 18",t
1327325,"Callum Marshall","Northern Ireland",t
1336566,"Facundo Buonanotte",Argentina,t
1422586,"Rio Cardines","Trinidad and Tobago",t
1430406,"Andr\\u00e9s Garc\\u00eda","Spain U21",f
1526704,"Jesse Derry","England Under 18",t
1529203,"Mohamadou Kant\\u00e9",,f
1532672,"Jonah Kusi-Asare","Sweden Under 18",t
1656860,"Alysson Edward",,f
77690,"S\\u00e9amus Coleman",Ireland,t
279489,"Jamaal Lascelles","England U20",f
416850,"Solly March","England U21",f
493165,"James Maddison",England,t
527549,"Patrick Roberts","England U20",f
875672,"Hamed Traor\\u00e8","Ivory Coast",t
963983,"Mike Tr\\u00e9sor",Belgium,t
1111392,"Tawanda Chirewa",Zimbabwe,t
1239595,"D\\u00e1rio Essugo","Portugal Under 15",t
1358655,"Julio Soler",Argentina,t
1428401,"Romain Esse","England Under 18",t
1433230,"Romelle Donovan","England Under 18",t
1436258,"Trey Nyoni","England Under 18",t
1436260,"Shea Lacey","England Under 16",t
1463282,"Divine Mukasa","England Under 18",t
1607333,"George Hemmings","England Under 18",t
1639163,"Bradley Burrowes","England Under 18",t
1676985,"Tyler Fletcher",Scotland,t
1690655,"Jocelin Ta Bi","Ivory Coast U23",f
1838455,"Jerome Abbey","England U17",f
363318,"Sam Byram",,f
637746,"Odsonne \\u00c9douard","France U21",f
759566,"Joshua Dasilva","England U21",f
858198,"Sasa Kalajdzic",Austria,t
865118,"Tyrell Malacia",Netherlands,t
982246,"Daniel Neil","England U20",f
1113753,"Dane Scarlett","England Under 16",t
1114798,"Jota Silva",Portugal,t
1211806,"George Earthy","England Under 16",t
1244376,"Kaden Rodney","England Under 18",t
1327789,"Jaydon Banel","Netherlands U19",f
1362341,"Alex Murphy",Ireland,t
1403351,"Tyler Fredricson","England Under 18",t
1431275,"Callum Olusesi","England Under 18",t
1443841,"Sean Neave","England Under 18",t
1469210,"Tom Edozie",,f
1557236,"Jamaldeen Jimoh-Aloba","England Under 18",t
1607328,"Bendito Mantato","England Under 18",t
1697214,"Ben Winterburn",,f
1700817,"Jo\\u00e9l Drakes-Thomas","England Under 16",t
169586,"Leandro Cabrera",Uruguay,t
185644,"Mathew Ryan",Australia,t
280818,"Marko Dmitrovic",Serbia,t
521846,"Martin Valjent",Slovakia,t
530468,"Antonio Sivera","Spain U21",f
534955,"Aar\\u00f3n Escandell",,f
581919,"David Soria",,f
616539,"Alex Remiro",Spain,t
625340,"Mauro Arambarri",Uruguay,t
638090,"Luis Milla",,f
660625,"Unai Sim\\u00f3n",Spain,t
681213,"Ionut Radu",Romania,t
683762,"Sergio Herrera",,f
1113813,"Myles Peart-Harris","England U19",f
1346113,"Shumaira Mheuka","England Under 18",t
1413853,"Kaye Furo","Belgium Under 16",t
1416710,"Joe Knight",,f
1526697,"Nehemiah Oriola",,f
1531854,"James Rowswell","England Under 16",t
1693398,"Junai Byfield","England Under 18",t
170323,"Thibaut Courtois",Belgium,t
184521,"Florian Lejeune","France U20",f
251269,"Ante Budimir",Croatia,t
278285,"Paulo Gazzaniga",Argentina,t
304355,"Odysseas Vlachodimos",Greece,t
360918,"Jonny Otto",Spain,t
443966,"Jeremy Toljan","Germany U23",f
517052,"Vedat Muriqi",Kosovo,t
566425,"Domingos Duarte",Portugal,t
621415,"Augusto Batalla","Argentina U20",f
671686,"Aleix Febas","Spain U17",f
