name,team,league,position,apps,minutes,us_goals,us_npg,us_assists,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_xg,us_npxg,us_xa,us_xg_chain,us_xg_buildup,xg90,npxg90,xa90,xg90_xa90,npxg90_xa90,xgchain90,xgbuildup90,season,row_id,norm_name,source
Emil Tsenov,FC Orenburg,Russian Premier League,D M S,7,484,1,1,0,2,3,0,0,0.6202,0.6202,0.0554,0.5309,0.4965,0.1153,0.1153,0.0103,0.1256,0.1256,0.0987,0.0923,2026/2027,9458,,
Miro,Dynamo Makhachkala,Russian Premier League,F S,20,895,1,1,0,20,7,3,1,2.1767,2.1767,0.2819,1.9425,0.2065,0.2189,0.2189,0.0283,0.2472,0.2472,0.1953,0.0208,2026/2027,9459,,
Henrique Carmo,CSKA Moscow,Russian Premier League,M S,19,691,1,1,1,21,7,1,0,1.029,1.029,0.8255,3.0458,1.3743,0.134,0.134,0.1075,0.2415,0.2415,0.3967,0.179,2026/2027,9460,,
Kevin Ar\u00e9valo,Akron,Russian Premier League,F S,6,215,1,1,0,5,3,0,0,0.5365,0.5365,0.1474,0.7067,0.1386,0.2246,0.2246,0.0617,0.2863,0.2863,0.2958,0.058,2026/2027,9461,,
Nazmi Gripshi,Rubin Kazan,Russian Premier League,F M S,11,760,1,1,3,9,16,1,0,0.8759,0.8759,1.0932,2.2235,0.852,0.1037,0.1037,0.1295,0.2332,0.2332,0.2633,0.1009,2026/2027,9462,,
Klisman Cake,FK Akhmat,Russian Premier League,D,12,1075,1,1,0,4,1,1,0,0.3954,0.3954,0.0633,0.5977,0.5523,0.0331,0.0331,0.0053,0.0384,0.0384,0.05,0.0462,2026/2027,9463,,
Galymzhan Kenzhebek,FK Akhmat,Russian Premier League,F S,7,169,1,1,0,8,2,1,0,0.4512,0.4512,0.0432,0.5678,0.1656,0.2403,0.2403,0.023,0.2633,0.2633,0.3024,0.0882,2026/2027,9464,,
Imran Firov,CSKA Moscow,Russian Premier League,S,1,30,1,1,1,2,2,0,0,0.1559,0.1559,0.428,0.5991,0.0422,0.4677,0.4677,1.284,1.7517,1.7517,1.7973,0.1266,2026/2027,9465,,
Theo Bongonda,Spartak Moscow,Russian Premier League,S,4,36,0,0,0,0,1,0,0,0.0,0.0,0.0261,0.5738,0.5476,0.0,0.0,0.0653,0.0653,0.0653,1.4345,1.369,2026/2027,9466,,
Rifat Zhemaletdinov,FK Akhmat,Russian Premier League,M S,13,300,0,0,0,6,4,0,0,0.2969,0.2969,0.2797,0.7129,0.3299,0.0891,0.0891,0.0839,0.173,0.173,0.2139,0.099,2026/2027,9467,,
Georgi Zotov,FC Orenburg,Russian Premier League,D M,6,498,0,0,0,3,4,0,0,0.0532,0.0532,0.2006,0.2388,0.028,0.0096,0.0096,0.0363,0.0459,0.0459,0.0432,0.0051,2026/2027,9468,,
Evgeni Frolov,Krylya Sovetov Samara,Russian Premier League,S,1,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9469,,
Igor Leshchuk,Dinamo Moscow,Russian Premier League,GK,6,540,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7166,0.7166,0.0,0.0,0.0,0.0,0.0,0.1194,0.1194,2026/2027,9470,,
Maksim Kuzmin,Akron,Russian Premier League,F M S,23,974,0,0,1,6,15,2,0,0.3172,0.3172,1.1723,2.4845,1.872,0.0293,0.0293,0.1083,0.1376,0.1376,0.2296,0.173,2026/2027,9471,,
Nikita Medvedev,Nizhny Novgorod,Russian Premier League,GK,29,2610,0,0,0,0,1,1,0,0.0,0.0,0.0766,0.614,0.5374,0.0,0.0,0.0026,0.0026,0.0026,0.0212,0.0185,2026/2027,9472,,
Sergey Pesjakov,Krylya Sovetov Samara,Russian Premier League,GK,31,2778,0,0,0,0,0,1,0,0.0,0.0,0.0,2.3161,2.3161,0.0,0.0,0.0,0.0,0.0,0.075,0.075,2026/2027,9473,,
Alexandr Zotov,Rubin Kazan,Russian Premier League,S,5,52,0,0,0,1,0,1,0,0.0944,0.0944,0.0,0.0944,0.0,0.1634,0.1634,0.0,0.1634,0.1634,0.1634,0.0,2026/2027,9474,,
Rizvan Utsiev,FK Akhmat,Russian Premier League,S,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9475,,
Daler Kuzyaev,Rubin Kazan,Russian Premier League,M S,16,998,0,0,0,9,5,2,0,0.4733,0.4733,0.2254,2.0611,1.7547,0.0427,0.0427,0.0203,0.063,0.063,0.1859,0.1582,2026/2027,9476,,
Oleg Ivanov,Rubin Kazan,Russian Premier League,S,18,112,0,0,0,1,3,1,0,0.0165,0.0165,0.1192,0.2361,0.1371,0.0133,0.0133,0.0958,0.1091,0.1091,0.1897,0.1102,2026/2027,9477,,
Igor Akinfeev,CSKA Moscow,Russian Premier League,GK,19,1687,0,0,0,0,1,2,0,0.0,0.0,0.0263,1.842,1.8157,0.0,0.0,0.0014,0.0014,0.0014,0.0983,0.0969,2026/2027,9478,,
Giorgi Shelia,FK Akhmat,Russian Premier League,GK,17,1530,0,0,1,0,2,1,0,0.0,0.0,0.2558,0.7588,0.503,0.0,0.0,0.015,0.015,0.015,0.0446,0.0296,2026/2027,9479,,
Sergei Petrov,FC Krasnodar,Russian Premier League,D,15,1208,0,0,1,6,11,3,0,0.178,0.178,1.3514,4.9317,4.1145,0.0133,0.0133,0.1007,0.114,0.114,0.3674,0.3065,2026/2027,9480,,
Vitaly Gudiev,Akron,Russian Premier League,GK,25,2250,0,0,0,0,0,2,0,0.0,0.0,0.0,1.6913,1.6913,0.0,0.0,0.0,0.0,0.0,0.0677,0.0677,2026/2027,9481,,
Artem Timofeev,Lokomotiv Moscow,Russian Premier League,S,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2801,0.2801,0.0,0.0,0.0,0.0,0.0,12.6045,12.6045,2026/2027,9482,,
Maksim Rudakov,"FC Orenburg,PFC Sochi",Russian Premier League,GK,2,180,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9483,,
Aleksandr Maksimenko,Spartak Moscow,Russian Premier League,GK,30,2700,0,0,0,0,2,1,0,0.0,0.0,0.3138,2.8574,2.8369,0.0,0.0,0.0105,0.0105,0.0105,0.0952,0.0946,2026/2027,9484,,
Anton Mitryushkin,Lokomotiv Moscow,Russian Premier League,GK,29,2610,0,0,0,0,0,1,0,0.0,0.0,0.0,2.7004,2.7004,0.0,0.0,0.0,0.0,0.0,0.0931,0.0931,2026/2027,9485,,
Alexey Tataev,FC Orenburg,Russian Premier League,D M S,11,611,0,0,0,7,4,3,1,0.6078,0.6078,0.0921,1.3583,1.333,0.0895,0.0895,0.0136,0.1031,0.1031,0.2001,0.1964,2026/2027,9486,,
Andrey Lunev,Dinamo Moscow,Russian Premier League,GK,14,1260,0,0,0,0,0,0,0,0.0,0.0,0.0,1.2229,1.2229,0.0,0.0,0.0,0.0,0.0,0.0874,0.0874,2026/2027,9487,,
Serder Serderov,Dynamo Makhachkala,Russian Premier League,F S,13,383,0,0,1,6,6,1,0,0.6343,0.6343,0.31,1.5406,0.7189,0.1491,0.1491,0.0728,0.2219,0.2219,0.362,0.1689,2026/2027,9488,,
Alexander Vasyutin,Akron,Russian Premier League,GK,2,180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0318,0.0318,0.0,0.0,0.0,0.0,0.0,0.0159,0.0159,2026/2027,9489,,
Khoren Bayramyan,FC Rostov,Russian Premier League,S,8,92,0,0,0,0,2,1,0,0.0,0.0,0.2925,0.8462,0.5537,0.0,0.0,0.2861,0.2861,0.2861,0.8278,0.5417,2026/2027,9490,,
Ilya Lantratov,Lokomotiv Moscow,Russian Premier League,GK,1,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1209,0.1209,0.0,0.0,0.0,0.0,0.0,0.1209,0.1209,2026/2027,9491,,
Alexander Djiku,Spartak Moscow,Russian Premier League,D,20,1726,0,0,0,7,4,5,1,0.3542,0.3542,0.17,4.9336,4.7958,0.0185,0.0185,0.0089,0.0274,0.0274,0.2573,0.2501,2026/2027,9492,,
Anton Shvets,Rubin Kazan,Russian Premier League,S,1,36,0,0,1,0,1,0,0,0.0,0.0,0.5189,0.0516,0.0516,0.0,0.0,1.2973,1.2973,1.2973,0.129,0.129,2026/2027,9493,,
Denis Adamov,Zenit St. Petersburg,Russian Premier League,GK,26,2340,0,0,0,0,1,2,0,0.0,0.0,0.0264,1.2703,1.2439,0.0,0.0,0.001,0.001,0.001,0.0489,0.0478,2026/2027,9494,,
Khetag Khosonov,Akron,Russian Premier League,D M S,23,1458,0,0,1,7,6,3,0,0.2854,0.2854,0.7744,3.0564,2.9054,0.0176,0.0176,0.0478,0.0654,0.0654,0.1887,0.1793,2026/2027,9495,,
Cristian Ram\u00edrez,Lokomotiv Moscow,Russian Premier League,S,8,188,0,0,0,0,3,1,0,0.0,0.0,0.1722,1.6988,1.5517,0.0,0.0,0.0824,0.0824,0.0824,0.8133,0.7428,2026/2027,9496,,
Aleksandr Lomakin,FC Orenburg,Russian Premier League,S,1,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0825,0.0825,0.0,0.0,0.0,0.0,0.0,0.5712,0.5712,2026/2027,9497,,
Evgeny Latyshonok,Zenit St. Petersburg,Russian Premier League,GK,4,360,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1164,0.1164,0.0,0.0,0.0,0.0,0.0,0.0291,0.0291,2026/2027,9498,,
