row_id,name,league,apps,minutes,team_id,atk_goals,atk_xg,atk_goals_vs_xg,atk_shots,atk_shots_on_target,atk_conversion_pct,atk_xg_per_shot,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_total,def_ground_duels_won,def_ground_duels_pct,def_aerial_duels_total,def_aerial_duels_won,def_aerial_duels_pct,pass_total,pass_accuracy_pct,pass_open_play_total,pass_open_play_pct,pass_final_third,pass_crosses,pass_long_total,pass_long_successful,pass_long_pct,pass_through_balls,carry_all_carries,carry_progressive,carry_distance_m,carry_avg_distance_m,carry_prog_distance_m,carry_prog_avg_distance_m,carry_lead_to_shot,carry_lead_to_goal,carry_lead_to_chance,carry_lead_to_assist,gk_goals_conceded,gk_saves,gk_save_pct,gk_xgot_conceded,gk_goals_prevented,gk_goals_prevented_rate,norm_name,source,season
178620961600080,"Alex Scott","Premier League",37,2859,1pse9ta7a45pi2w2grjim70ge,3,3.81,-0.81,44,13,6.82,0.09,60,36,195,14,81,265,148,55.8,68,37,54.4,1393,84.8,376,70.5,1182,265,27,7,25.9,10,442,218,4935.4,11.2,2177.5,10.0,8,0,8,0,,,,,,,,,2025/2026
178620961600081,"Yankuba Minteh","Premier League",34,2398,e5p0ehyguld7egzhiedpdnc3w,3,3.8,-0.8,41,11,7.32,0.09,56,17,95,0,16,285,143,50.2,51,19,37.3,630,67.9,332,62.0,428,206,134,31,23.1,2,398,252,4840.8,12.2,2767.5,11.0,14,1,13,2,,,,,,,,,2025/2026
178620961600082,"Virgil van Dijk","Premier League",38,3420,c8h9bw1l82s06h77xxrelzhur,6,3.77,2.23,30,14,20.0,0.13,22,28,87,26,275,60,42,70.0,234,174,74.4,2792,89.0,561,73.1,2485,410,1,0,0.0,2,494,290,4933.5,10.0,2903.5,10.0,0,0,3,0,,,,,,,,,2025/2026
178620961600083,"Taiwo Awoniyi","Premier League",17,481,1qtaiy11gswx327s0vkibf70n,4,3.58,0.42,15,8,26.67,0.24,2,1,18,1,4,32,11,34.4,50,9,18.0,75,80.0,29,82.8,60,24,1,0,0.0,1,25,19,361.7,14.5,229.8,12.1,3,1,1,0,,,,,,,,,2025/2026
178620961600084,"Alejandro Garnacho","Premier League",24,1268,9q0arba2kbnywth8bkxlhgmdr,1,3.45,-2.45,33,7,3.03,0.1,15,4,45,0,6,107,52,48.6,16,3,18.8,473,87.3,243,84.0,413,204,59,8,13.6,0,289,167,3578.2,12.4,2143.8,12.8,13,1,19,4,,,,,,,,,2025/2026
178620961600085,"Emiliano Buendía","Premier League",36,1759,b496gs285it6bheuikox6z9mj,6,3.42,2.58,49,13,12.24,0.07,49,15,109,4,20,218,103,47.2,58,21,36.2,658,81.5,287,78.0,536,224,9,0,0.0,5,182,98,1950.8,10.7,1006.1,10.3,8,2,10,0,,,,,,,,,2025/2026
178620961600086,"Habib Diarra","Premier League",20,1407,1r3545b2dzan8yqa80gtmcjch,2,3.41,-1.41,26,8,7.69,0.13,14,4,48,0,13,104,47,45.2,24,11,45.8,436,81.9,168,75.0,357,126,32,4,12.5,3,149,81,1688.7,11.3,905.4,11.2,9,0,3,1,,,,,,,,,2025/2026
178620961600087,"Mikel Merino","Premier League",22,1027,4dsgumo7d4zupm2ugsvm4zm4d,4,3.38,0.62,22,8,18.18,0.15,26,10,57,2,19,101,51,50.5,71,28,39.4,370,76.0,150,64.7,281,97,4,0,0.0,12,66,28,653.1,9.9,264.3,9.4,1,0,2,1,,,,,,,,,2025/2026
178620961600088,"Riccardo Calafiori","Premier League",26,1707,4dsgumo7d4zupm2ugsvm4zm4d,1,3.34,-2.34,32,8,3.12,0.1,32,15,73,5,50,107,56,52.3,77,48,62.3,756,85.6,221,87.8,647,194,21,3,14.3,1,187,100,2066.9,11.1,1030.4,10.3,6,0,2,0,,,,,,,,,2025/2026
178620961600089,"Rodrigo Muniz","Premier League",21,997,hzqh7z0mdl3v7gwete66syxp,1,3.34,-2.34,32,5,3.12,0.1,8,2,15,3,24,73,30,41.1,147,78,53.1,132,42.4,67,38.8,56,26,2,0,0.0,0,26,14,258.2,9.9,142.4,10.2,1,0,0,0,,,,,,,,,2025/2026
178620961600090,"Kai Havertz","Premier League",12,583,4dsgumo7d4zupm2ugsvm4zm4d,2,3.31,-1.31,18,4,11.11,0.18,8,1,14,0,8,42,19,45.2,42,17,40.5,166,74.1,89,70.8,123,63,6,0,0.0,1,44,25,512.9,11.7,254.9,10.2,4,0,1,0,,,,,,,,,2025/2026
178620961600091,"Jan Paul van Hecke","Premier League",36,3211,e5p0ehyguld7egzhiedpdnc3w,3,3.3,-0.3,23,10,13.04,0.14,53,47,113,28,189,148,95,64.2,194,114,58.8,2521,87.2,499,66.7,2198,333,23,10,43.5,1,919,599,10668.1,11.6,7212.1,12.0,3,0,3,0,,,,,,,,,2025/2026
178620961600092,"Lyle Foster","Premier League",26,1372,64bxxwu2mv2qqlv0monbkj1om,3,3.25,-0.25,20,6,15.0,0.16,16,4,42,3,20,110,38,34.5,98,28,28.6,280,70.0,132,59.9,196,79,6,1,16.7,1,84,41,1009.0,12.0,510.1,12.4,4,0,3,0,,,,,,,,,2025/2026
178620961600093,"Jhon Arias","Premier League",23,1121,b9si1jn1lfxfund69e9ogcu2n,1,3.25,-2.25,16,3,6.25,0.2,43,8,58,2,15,137,60,43.8,28,10,35.7,399,89.5,128,85.9,357,110,15,3,20.0,0,118,63,1464.5,12.4,703.2,11.2,3,0,3,0,,,,,,,,,2025/2026
178620961600094,"Declan Rice","Premier League",36,3099,4dsgumo7d4zupm2ugsvm4zm4d,4,3.17,0.83,40,13,10.0,0.08,70,37,180,12,78,167,95,56.9,74,50,67.6,2136,87.3,671,79.6,1865,534,47,15,31.9,12,624,328,7460.8,12.0,3660.2,11.2,8,0,8,0,,,,,,,,,2025/2026
178620961600095,"Jacob Murphy","Premier League",33,1618,7vn2i2kd35zuetw6b38gw9jsz,3,3.15,-0.15,42,13,7.14,0.07,16,6,47,4,17,120,49,40.8,19,7,36.8,499,73.3,254,68.1,366,173,117,24,20.5,4,198,102,2081.7,10.5,999.4,9.8,17,2,3,0,,,,,,,,,2025/2026
178620963307023,"James Morris",Championship,2,4,4t83rqbdbekinxl5fz2ygsyta,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,3,1,1,100.0,0,0,0.0,1,0.0,1,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,2025/2026
178620961600096,"Sepp van den Berg","Premier League",32,2761,7yx5dqhhphyvfisohikodajhv,0,3.13,-3.13,23,7,0.0,0.14,23,29,109,22,195,60,35,58.3,211,140,66.4,1422,88.5,163,60.7,1259,99,0,0,0.0,1,271,163,3064.2,11.3,1664.9,10.2,1,0,0,0,,,,,,,,,2025/2026
178620961600097,"Yoane Wissa","Premier League",19,521,7vn2i2kd35zuetw6b38gw9jsz,1,3.12,-2.12,13,5,7.69,0.24,5,0,14,1,2,32,8,25.0,35,15,42.9,93,69.9,47,63.8,65,30,1,0,0.0,1,17,9,171.6,10.1,74.2,8.2,1,0,0,0,,,,,,,,,2025/2026
178620961600098,"Xavi Simons","Premier League",28,1757,22doj4sgsocqpxw45h607udje,2,3.08,-1.08,42,10,4.76,0.07,34,15,87,1,12,208,106,51.0,37,12,32.4,802,82.9,339,76.1,665,258,19,4,21.1,8,272,145,3542.8,13.0,1849.0,12.8,12,2,9,0,,,,,,,,,2025/2026
178620961600099,"Keane Lewis-Potter","Premier League",36,1968,7yx5dqhhphyvfisohikodajhv,3,3.04,-0.04,31,9,9.68,0.1,23,12,96,2,37,144,75,52.1,39,11,28.2,568,77.6,204,71.1,441,145,67,21,31.3,1,183,107,2165.4,11.8,1151.3,10.8,4,0,5,1,,,,,,,,,2025/2026
178620961600100,"Georginio Rutter","Premier League",32,1790,e5p0ehyguld7egzhiedpdnc3w,3,3.02,-0.02,42,14,7.14,0.07,32,11,60,1,26,233,94,40.3,50,19,38.0,436,69.5,227,67.0,303,152,21,3,14.3,8,215,134,2564.8,11.9,1620.9,12.1,10,0,5,2,,,,,,,,,2025/2026
178620961600101,"Pascal Struijk","Premier League",34,2937,48gk2hpqtsl6p9sx9kjhaydq4,0,3.02,-3.02,31,5,0.0,0.1,39,31,118,17,207,116,64,55.2,197,110,55.8,1839,88.5,253,67.6,1627,171,2,0,0.0,1,322,175,3014.7,9.4,1545.6,8.8,0,0,0,0,,,,,,,,,2025/2026
178620961600102,"John McGinn","Premier League",30,2157,b496gs285it6bheuikox6z9mj,5,2.96,2.04,28,12,17.86,0.11,29,12,89,5,15,207,96,46.4,32,11,34.4,754,82.4,321,74.1,621,238,50,13,26.0,5,219,99,2384.5,10.9,915.9,9.3,4,2,12,2,,,,,,,,,2025/2026
178620961600103,"Joshua Zirkzee","Premier League",24,608,6eqit8ye8aomdsrrq0hk3v7gh,2,2.95,-0.95,25,9,8.0,0.12,9,1,19,2,11,49,20,40.8,52,20,38.5,245,74.3,82,58.5,182,48,5,2,40.0,2,40,18,415.2,10.4,179.8,10.0,2,1,1,0,,,,,,,,,2025/2026
178620961600104,"Gabriel Magalhães","Premier League",32,2751,4dsgumo7d4zupm2ugsvm4zm4d,3,2.93,0.07,27,7,11.11,0.11,38,23,64,33,182,103,72,69.9,159,99,62.3,1733,88.2,299,68.6,1528,205,5,1,20.0,4,315,192,2991.3,9.5,1860.7,9.7,1,0,1,0,,,,,,,,,2025/2026
178620961600105,"Anton Stach","Premier League",29,2378,48gk2hpqtsl6p9sx9kjhaydq4,5,2.92,2.08,55,14,9.09,0.05,65,20,119,9,52,215,107,49.8,77,48,62.3,939,77.3,357,70.0,726,250,37,13,35.1,2,234,125,2709.1,11.6,1356.6,10.9,10,1,11,1,,,,,,,,,2025/2026
178620961600106,Estêvão,"Premier League",22,845,9q0arba2kbnywth8bkxlhgmdr,2,2.92,-0.92,28,8,7.14,0.1,11,4,36,0,5,132,49,37.1,17,3,17.6,270,80.7,141,75.9,218,107,7,4,57.1,1,145,87,1888.4,13.0,1163.3,13.4,17,1,7,1,,,,,,,,,2025/2026
178620961600107,Rayan,"Premier League",15,1119,1pse9ta7a45pi2w2grjim70ge,5,2.91,2.09,28,8,17.86,0.1,11,8,43,0,20,78,30,38.5,57,25,43.9,318,78.3,139,70.5,249,98,23,4,17.4,2,140,90,2032.5,14.5,1254.6,13.9,11,2,11,2,,,,,,,,,2025/2026
178620961600108,"James Tarkowski","Premier League",37,3330,ehd2iemqmschhj2ec0vayztzz,2,2.91,-0.91,21,10,9.52,0.14,51,32,88,46,242,134,87,64.9,212,148,69.8,1559,80.6,323,46.8,1257,151,7,2,28.6,9,307,166,3045.9,9.9,1650.2,9.9,0,0,1,0,,,,,,,,,2025/2026
178620961600109,"Elliot Anderson","Premier League",38,3334,1qtaiy11gswx327s0vkibf70n,4,2.9,1.1,44,10,9.09,0.07,104,41,306,15,49,430,231,53.7,112,66,58.9,2383,85.5,748,77.8,2038,582,74,24,32.4,9,637,297,6453.1,10.1,2620.1,8.8,8,2,7,0,,,,,,,,,2025/2026
178620961600110,"Martín Zubimendi","Premier League",38,3001,4dsgumo7d4zupm2ugsvm4zm4d,5,2.85,2.15,27,9,18.52,0.11,68,39,116,5,78,158,88,55.7,98,65,66.3,1928,87.3,530,78.1,1684,414,12,3,25.0,9,417,209,4479.5,10.7,2120.2,10.1,2,0,3,0,,,,,,,,,2025/2026
178620961600111,"Lucas Paquetá","Premier League",18,1521,4txjdaqveermfryvbfrr4taf7,4,2.82,1.18,23,11,17.39,0.12,39,8,76,6,17,176,85,48.3,89,38,42.7,789,77.1,314,64.7,608,203,20,3,15.0,10,161,70,1580.2,9.8,542.6,7.8,2,1,1,0,,,,,,,,,2025/2026
178620961600112,"Callum Hudson-Odoi","Premier League",30,1844,1qtaiy11gswx327s0vkibf70n,3,2.8,0.2,30,10,10.0,0.09,14,8,68,2,14,125,56,44.8,12,3,25.0,657,89.2,372,88.4,586,329,87,12,13.8,1,349,199,4451.6,12.8,2403.7,12.1,17,2,26,0,,,,,,,,,2025/2026
178620961600113,"Curtis Jones","Premier League",34,1929,c8h9bw1l82s06h77xxrelzhur,1,2.77,-1.77,23,7,4.35,0.12,40,18,144,6,29,163,91,55.8,38,11,28.9,1647,91.6,551,87.1,1509,480,15,1,6.7,13,473,204,4788.1,10.1,1528.4,7.5,4,0,5,1,,,,,,,,,2025/2026
178620961600114,"Adam Armstrong","Premier League",14,1146,b9si1jn1lfxfund69e9ogcu2n,2,2.74,-0.74,18,6,11.11,0.15,8,2,15,1,12,53,21,39.6,23,9,39.1,152,68.4,67,68.7,104,46,5,1,20.0,1,37,10,349.0,9.4,35.4,3.5,3,1,0,0,,,,,,,,,2025/2026
178620961600115,"Jérémy Doku","Premier League",30,1784,a3nyxabgsqlnqfkeg41m6tnpp,5,2.73,2.27,39,15,12.82,0.07,23,13,88,0,2,312,167,53.5,12,4,33.3,772,82.9,494,78.1,640,386,58,16,27.6,18,571,388,7288.1,12.8,4822.4,12.4,25,3,33,2,,,,,,,,,2025/2026
178620961600116,"Omar Marmoush","Premier League",21,699,a3nyxabgsqlnqfkeg41m6tnpp,3,2.72,0.28,30,9,10.0,0.09,13,2,20,2,2,83,43,51.8,9,3,33.3,162,87.0,78,82.0,141,64,4,0,0.0,4,70,44,800.6,11.4,435.5,9.9,5,0,3,2,,,,,,,,,2025/2026
178620961600117,"Yasin Ayari","Premier League",29,1924,e5p0ehyguld7egzhiedpdnc3w,3,2.71,0.29,41,10,7.32,0.07,47,26,124,4,24,189,93,49.2,26,9,34.6,963,86.1,195,73.8,829,144,10,1,10.0,1,232,89,2207.7,9.5,787.2,8.8,9,2,1,0,,,,,,,,,2025/2026
