analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Adam Armstrong",250426,reep,,reep_pf52cf754,519835,361352,68c720b5,4419
"Adam Aznou",938146,reep,,reep_pc686be5b,1573563,1466124,,12371
"Adam Berry",399155,reep,,reep_p423689bf,,,2a2249db,
"Adam Buksa",267160,reep,,reep_p6a00ac4a,557396,1138856,3b676989,
"Adam Daghim",881297,reep,,reep_pa1e79917,1353000,1180758,,
"Adam Davies",121254,reep,,reep_peede1e17,,288997,71894777,11733
"Adam Dohnálek",733906,reep,,reep_p3ed46c23,,1474839,,
"Adam Dzwigala",236966,reep,,reep_p5ecd4fc8,,252343,75edc8ce,
"Adam El Mokhtari",1050650,fuzzy,85.5,,,,,
"Adam El Ouali",1305554,fuzzy,85.5,,,,,
"Adam Forshaw",121257,reep,,reep_pbce1314e,,103117,9f1938ab,1711
"Adam Gabriel",665538,reep,,reep_pf83799b6,,1085914,,
"Adam Gnezda Cerin",401394,reep,,reep_p1a2d2b60,,843251,fe192f45,
"Adam Hlozek",552057,reep,,reep_p456cf673,969870,963801,5521f419,
"Adam Idah",434223,reep,,reep_pe3cdcc49,,879850,291e3ec3,8021
"Adam Jackson",134419,reep,,reep_p8e786883,,,aab8c9af,
"Adam Karabec",652061,reep,,reep_p91952cfb,1135655,1000175,f80d03ca,
"Egil Selvik",380744,reep,,reep_pa070b972,,798176,05d89c1c,
"Adam Kölle",921431,reep,,reep_pbd61549a,1799711,2192753,,
"Adam Lewis",347481,reep,,reep_pf72f34e9,,826137,accd672a,
"Adam Lundkvist",225676,reep,,reep_p918f2783,,283219,91769a24,
"Adam Marusic",239802,reep,,reep_pf4ea39dc,478447,267619,d4535821,
"Adam Masina",286949,reep,,reep_pc5609d07,500502,,de0f152c,1441
"Adam Matthews",108878,reep,,reep_p5dcb28fa,,50826,d8bffa70,1034
"Adam Mayor",1050650,reep,,reep_p15234a7b,,1398540,,
"Adam Murphy",741270,reep,,reep_paae50ccd,,,,
"Adam Novák",1058533,fuzzy,85.5,,,,,
"Adam Obert",568333,reep,,reep_p212f8c5a,1289961,964153,,
"Adam Pearlman",1001941,reep,,reep_p77fe85b9,,1210721,8c56b503,
"Adam Phillips",314381,reep,,reep_p8281c90b,,586156,,
"Adam Randell",633463,reep,,reep_p3ef2078f,,964115,769ff238,
"Adam Reach",163530,reep,,reep_p5a8b4373,,151174,33a2d4dc,1768
"Adam Senior",672607,reep,,reep_peddab6ee,,991040,,
"Adam Sevínsky",929887,reep,,reep_p814a9736,,1146039,,
"Adam Smith",61841,reep,,reep_p6f6a888f,160447,44566,20b104bc,825
"Adam Wharton",744149,reep,,reep_p3226c4b6,1296650,1109771,4b542852,12409
"Adama Boiro",710671,reep,,reep_p8c139f4b,1331249,1398511,,
"Adama Camara",973949,reep,,reep_pdb31f581,1513317,1507384,,
"Adama Sidibeh",1229924,reep,,reep_pe79b3d9a,,1653860,,
