analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Alexandr Sojka",826103,reep,,reep_p1e4a15ca,,1403491,,
"Alexandre Lacazette",93720,reep,,reep_p7a1976bc,,,9dbb75ca,3277
"Alexandre Penetra",479643,reep,,reep_pd055f138,1186780,1004278,,
"Alexandros Katranis",324341,reep,,reep_p72bc1a35,,827449,5c041f1f,
"Alexandros Paschalakis",88348,reep,,reep_p2bc177c5,,41073,4c5039bd,
"Alexandru Cicâldau",295810,reep,,reep_paeb82ded,,827540,cdafb19d,
"Alexandru Cretu",216661,reep,,reep_p95e1ea89,,229678,52d320d4,
"Alexandru Pantea",670828,reep,,reep_pa27ec6c3,,1033266,b3f31b62,
"Alexej Maros",1113217,fuzzy,100,,,,,
"Alexis Claude-Maurice",384593,reep,,reep_p7cdc9306,689065,822877,,
"Alexis Kalogeropoulos",628223,fuzzy,90,,,,,
"Alexis Mac Allister",534033,reep,,reep_peef6571d,,895324,83d074ff,8379
"Alexis Manyoma",908293,reep,,reep_pff8788aa,,1174338,6e159787,
"Alexis Saelemaekers",381950,reep,,reep_pfaf09064,,901891,ee251371,
"Alexis Sánchez",40433,reep,,reep_pc6afea0e,50047,34120,2c0f8e9e,498
"Alexis Vossah",1200427,reep,,reep_p77681cb2,1791727,2193194,70c9a61a,
"Alexsandro Ribeiro",648020,reep,,reep_pd391ea7c,1186553,1049775,102c9665,
"Alfa Semedo",359210,reep,,reep_p5e00b675,,887343,07750704,
"Alfie Chang",733311,reep,,reep_pf18c62e6,,1134084,,
"Alfie Cresswell",597659,fuzzy,87.5,,,,,
"Alfie Devine",728734,reep,,reep_p3cf13581,,1049459,,9306
"Alfie Dorrington",796300,reep,,reep_pcab8a3ce,,1177610,,12193
"Alfie Doughty",608175,reep,,reep_pd16111b1,,945792,bf33b257,11723
"Alfie Gilchrist",790992,reep,,reep_pb8ee0db0,,1114837,d91f104d,11595
"Alfie Jones",340990,reep,,reep_p956e915e,,845426,e5c107a1,7391
"Alfie Kilgour",396678,reep,,reep_p2bce6d8c,,814197,a898d8eb,
"Alfie Lloyd",838926,reep,,reep_pe8e2080c,,,,
"Alfie May",479987,reep,,reep_p63d6b777,,336633,992453d1,
"Alfie Pond",821522,reep,,reep_p2b65181f,,,,13117
"Alfon González",357628,reep,,reep_pb8a8364d,926643,1468090,,
"Alfons Sampsted",332530,reep,,reep_p2a7b02ee,635947,842536,5d873dfb,
"Alfonso Barco",671538,reep,,reep_p2400ac0f,,975958,b41a6e6e,
"Augustín Anello",860812,fuzzy,96.5517,,,,,
"Alfonso Pedraza",356197,reep,,reep_pbff35bff,629594,797290,63f04c6c,
"Alhassan Yusuf",600481,reep,,reep_p0e3a8d34,,943114,0de73fa4,
"Ali Abdi",211474,reep,,reep_p9c240863,566187,919027,ad7cdb35,
"Ali Abdoulraouf Alabdrabalnabi",1459311,fuzzy,85.5,,,,,
"Ali Abdulhadi Al Nakhli",1112082,fuzzy,85.5,,,,,
"Ali Abdullah Hazazi",153172,reep,,reep_p02d559f3,,,7f093d00,
"Ali Ahmed",995642,reep,,reep_pab166a78,,1464637,540a5be1,
"Ali Al Asmari",509898,reep,,reep_p1cd5117e,,,5fc89dc8,
"Ali Al Bulayhi",229877,reep,,reep_pf0dfafad,,,8d7b2936,
"Ali Al Hamadi",610581,reep,,reep_pe29e5d2c,,1010010,8450467d,12751
"Ali Al Hassan",141805,reep,,reep_p1173e9f9,,,,
"Ali Al Hussain",141805,fuzzy,88.8889,,,,,
"Ali Al Masoud",970665,reep,,reep_peb5d7e2a,,,,
"Ali Al Salem",1058034,reep,,reep_p252910d5,,,,
"Ali Al Shaafi",1207309,fuzzy,100,,,,,
"Ali Al Youssef",501131,fuzzy,95,,,,,
"Ali Azaizeh",1059056,reep,,reep_p6a7243ef,,,,
"Ali Coote",285282,reep,,reep_p14745a0a,,785464,e42c53b6,
"Ali Dembélé",1004344,reep,,reep_pffde4517,,1397347,,
"Ali Fadal",980242,reep,,reep_pab437525,,,,
"Ali Gholizadeh",294772,reep,,reep_pab1bec75,,359350,9fc0ac41,
"Ali Houary",1064538,fuzzy,100,,,,,
"Ali Jasim",75455,reep,,reep_p73db0b00,,35984,a395bfe0,
"Ali Lajami",264909,reep,,reep_p9aa651f4,,818667,46f7ab4f,
"Ali Majrashi",672391,reep,,reep_pe01fa9ab,,917035,,
"Alimami Gory",435492,reep,,reep_p5ccbf132,765158,842399,a2f8e467,
"Aliou Thiare",949111,reep,,reep_p173b874a,,1561784,,
"Alisson Becker",105470,reep,,reep_pf203c112,319784,243609,7a2e46a8,1257
"Alisson Santana",1083070,reep,,reep_p742a49e3,,1471221,,
"Alisson Santos",830365,reep,,reep_pef18acee,1355552,1122835,,
"Jake Eastwood",526873,reep,,reep_pc3821494,,891894,54d9b72d,8233
"Alistair Smith",631258,reep,,reep_pf70419d6,,962649,,
"Almugera Kabar",884820,reep,,reep_pd10cc3a9,,1418620,,
"Alonso Coello",1001938,reep,,reep_pcf1743fe,,1470478,00eb5be4,
"Alonzo Engwanda",565436,reep,,reep_pc367e4e9,1665129,1000548,,
"Alpha Diounkou",554175,reep,,reep_p81947662,,930247,f21c478a,
"Alpha Touré",1178489,reep,,reep_pe43a9134,1536998,1597191,3437d224,
"Alphonse Areola",120629,reep,,reep_p855f0fed,210164,96531,2f965a72,2310
"Alphonso Davies",424204,reep,,reep_pc7a5566e,751202,843665,d781d855,
"Altay Bayindir",336077,reep,,reep_p42149308,866967,815890,072e68ed,12054
"Alvas Powell",189772,reep,,reep_peb2dfff6,,155727,2f91124d,
"Alvin Petit Dol",1144938,reep,,reep_p1752285e,1813430,,,
"Alvyn Sanches",583058,reep,,reep_p428b7c17,,1065159,fc0cb041,
"Alysson Edward",1005583,reep,,reep_pb63387c2,1656860,1631879,,
"Amad Diallo",536835,reep,,reep_p1176a996,,971037,9dc96f10,8127
"Amadou Bamba Dieng",822458,fuzzy,90,,,,,
"Amadou Cissé",81161,reep,,reep_p777e6f26,,,3ed4f063,
"Amadou Haidara",402008,reep,,reep_pa4f1f54e,688830,822708,92432bc6,
"Amadou Koné",1178474,reep,,reep_p34ce5a09,,1586875,,
"Amadou Mbengue",806310,reep,,reep_peeec2092,,1129118,,
"Amadou Onana",485706,reep,,reep_p7813ca1f,1185748,923973,828657ff,9667
"Amady Camara",1155608,reep,,reep_pcadc7a47,1515220,1516047,,
"Amahl Pellegrino",218278,reep,,reep_pd66ff389,,228336,9d9e69df,
"Amankwah Forson",650944,reep,,reep_pef69509c,,1113141,,
"Amar Al Yuhaybi",1130877,fuzzy,85.5,,,,,
"Amar Dedic",519184,reep,,reep_p833e2afa,,1102791,bc6e544a,
"Amar Memic",638990,reep,,reep_p578e7f8f,,1129610,918c187c,
"Amar Sanghrajka",638990,fuzzy,85.5,,,,,
"Amar Sejdic",424993,reep,,reep_p7ac1d481,,980282,43ca2019,
"Amara Nallo",1108049,reep,,reep_pa9c66376,,1550811,398a24f6,12534
"Amari Sealey",,,,,,,,
"Amari'i Bell",278166,reep,,reep_p1b089842,,369674,399e9474,11713
"Amario Cozier-Duberry",878150,reep,,reep_p09aad800,,,,
"Ameen Al Dakhil",620598,reep,,reep_p939a220c,,964761,93e08bce,11699
"Amer Gojak",293210,reep,,reep_pc0089087,,357638,51ffa295,
"Amidou Traore",1176364,reep,,reep_p4f5a3fc0,,1654975,283001e1,
"Amin Al Bukhari",509875,reep,,reep_pdf0aa699,,818493,32a9aac0,
"Amin Boudri",911482,reep,,reep_p8b930765,,1394665,8c03d809,
"Amin Nabizada",1221601,manual,,,,,,
"Amin Sarr",748382,reep,,reep_p99a5cf2d,1156568,1022204,d5326924,
"Amine Adli",532776,reep,,reep_p98329f13,1079557,991478,dcfb17f4,8211
"Amine El Ouazzani",735051,reep,,reep_p3e5470de,,1014048,,
"Amine Gouiri",418659,reep,,reep_p0afe70f2,,859026,aad56ca3,
"Kepa Arrizabalaga",192279,reep,,reep_p79e8519d,317564,232422,28d596a0,5061
"Amine Harit",372711,reep,,reep_pee44239c,,827522,e7d59f4f,
"Amine Khammas",401938,reep,,reep_p51f1a4c8,,889491,43623c81,
"Amine Sbaï",851220,reep,,reep_pfec3e16a,,1104296,,
"Amir Hadziahmetovic",293213,reep,,reep_p2410b1dd,,795421,e8213ed3,
"Amir Murillo",354482,reep,,reep_p841af87b,,839493,349cae8f,
"Amir Richardson",893675,reep,,reep_p4338c74f,,1121333,376b87ab,
"Amir Rrahmani",257732,reep,,reep_peca5cbac,544693,332155,4b3e1a38,
"Amir Sayoud",122493,reep,,reep_p5021cb4a,,309154,44c66dbd,
"Amirbek Bazarbayev",,,,,,,,
"Amjad Haraj",1145527,manual,,,,,,
"Ammar Al Harfi",1161128,reep,,reep_pb22e9241,,,,
"Ammar Al Khaibari",1112062,reep,,reep_p0bbe0960,,,,
"Ammar Al Najjar",1130877,fuzzy,85.5,,,,,
"Amor Layouni",208880,reep,,reep_pe2e4bbf6,,338695,e9e41fd0,
"Amos Pieper",334221,reep,,reep_p9583dbdd,,851254,,
"Amìn-Elias Gröller",803046,reep,,reep_p4b7a735a,,1906267,,
"Anan Khalaili",945021,reep,,reep_p7cf94d92,,1403362,,
"Anass Salah-Eddine",485584,reep,,reep_p261fcb6c,,961684,0d274394,
"Anass Zaroury",491296,reep,,reep_pfa506c6b,,877036,07d65234,11703
"Ander Barrenetxea",616369,reep,,reep_pb7b303d7,1002618,966862,200e89e1,
"Ander Guevara",465967,reep,,reep_p8abbbca9,873827,891931,8e48dc61,
"Ander Izagirre",1189292,reep,,reep_pe13425b4,,,,
"Anders Christiansen",77259,reep,,reep_p024a8060,,81859,770ebf00,
"Anders Dreyer",342389,reep,,reep_p4c58a766,,809280,c6486b01,
"Anders Hagelskjær",345647,reep,,reep_p1648d33b,,842358,5c550ee1,
"Anders Klynge",542762,reep,,reep_pfcb8f29b,,1033346,bef3d795,
"Anderson Julio",310640,reep,,reep_p7eb8a04c,,832664,f907a6a8,
"Anderson Silva",522714,reep,,reep_pc6792a97,,892272,,
"Andoni Gorosabel",289255,reep,,reep_p5239ffd6,839893,,6f5f82c0,
"Andraz Sporar",179860,reep,,reep_pa62cf884,,166987,878f0921,
"Andre Blake",244149,reep,,reep_pa7882d4c,,331411,b3b21a11,
"Andre Brooks",746739,reep,,reep_p9a50a8da,,1396445,5f346071,11731
"Andre Dozzell",346467,reep,,reep_p959188e1,,826133,8f660142,
"Andre Garcia",1063329,fuzzy,96,,,,,
"Andre Gray",120565,reep,,reep_pd6e8e53d,,73951,c24dba2a,1660
"Andre Harriman-Annous",1237740,reep,,reep_pe6fbd7db,,1899736,,14000
"Andrea Belotti",167727,reep,,reep_pb8a8a4b5,309726,,d705ba44,
"Andrea Cambiaso",459658,reep,,reep_p94870eb0,,917048,247ed022,
"Andrea Cogoni",1221818,fuzzy,90,,,,,
"Andrea Ghion",390163,reep,,reep_p06bbe53e,,928879,7f24b3eb,
"Andrea Natali",1058353,reep,,reep_pae92e1db,1646518,1823904,,
"Andrea Pinamonti",315865,reep,,reep_pd5ab1bcb,750030,826198,08aa9cd1,
"Andreas Christensen",196948,reep,,reep_p34021365,449232,,1cb49278,200
"Andreas Christou",720765,reep,,reep_pc84ad2f0,,984869,,
"Andreas Cornelius",203412,reep,,reep_pb74aafb6,,183483,c693347d,
"Andreas Hanche-Olsen",370683,reep,,reep_p12b2cd49,630286,794294,2e77d607,
"Andreas Helmersen",333012,reep,,reep_p3d41d482,,793524,400d29e7,
"Andreas Linde",199221,reep,,reep_p6f102968,,184679,4d6a842d,
"Andreas Pereira",203394,reep,,reep_pee622e45,,285949,6639e500,922
"Andreas Schjelderup",670103,reep,,reep_pb75c924a,,1100952,a427724f,
"Andreas Skov Olsen",432982,reep,,reep_p032d1187,,888537,c50cee19,
"Andreas Weimann",49693,reep,,reep_p5307b7b1,,87185,5996ffd9,
"Andrei Chirila",1073380,reep,,reep_pc67920d2,,,c5c6e70e,
"Andrei Dancus",1179041,reep,,reep_pf744391b,,2019103,,
"Andrei Girotto",270051,reep,,reep_p09bb57d0,,794836,3befc2b6,
"Andrei Ratiu",527966,reep,,reep_p738ba2b9,970578,965031,b1b99435,
"Andrej Bacanin",952776,reep,,reep_p5f8d2321,,1584962,,
"Andrej Djuric",706560,reep,,reep_p7455989b,,,,
"Andrej Ilic",583699,reep,,reep_p5d732343,1047670,953767,cd2cb5bb,
"Andrej Kotnik",382007,reep,,reep_p85dd1149,,799677,a87b3b43,
"Andrej Kramaric",46580,reep,,reep_p28c155fa,,67647,603cb947,
"Andrej Popovic",1221818,fuzzy,90,,,,,
"Andres Dumitrescu",547812,reep,,reep_p7fa105fd,,1000581,29680b08,
"Andrew Farrell",253616,reep,,reep_p9c9ceac7,,314152,71eda165,
"Andrew Gutman",638408,reep,,reep_p16ba5ebb,,983770,b7a23251,
"Andrew Hughes",13413,reep,,reep_pff255e06,,,,
"Andrew Lachhab",1221818,fuzzy,90,,,,,
"Andrew Lyons",1221818,fuzzy,90,,,,,
"Andrew Moran",724537,reep,,reep_p8af77754,,1005706,c4720845,11193
"Andrew Oluwabori",949413,fuzzy,100,,,,,
"Andrew Omobamidele",621993,reep,,reep_pea1d2a1f,1050822,983066,c393a6c4,9833
"Andrew Privett",1112735,reep,,reep_p779db731,,1470300,4fd77159,
"Andrew Rick",1006612,reep,,reep_p930cf461,,1513808,125b66d4,
"Andrew Thomas",635673,reep,,reep_p019bbbbb,,1126470,1425ee30,
"Andrews Tetteh",905184,reep,,reep_p6ca2c802,,1165457,,
"Andrey Santos",743600,reep,,reep_p8c8f82b6,,1105779,dd745366,11808
"Andri Gudjohnsen",490967,reep,,reep_p87352f7c,,982523,,
"Andri Yeoman",110170,reep,,reep_p21cc45b4,,,,
"Andrias Edmundsson",495839,reep,,reep_p88ca6a03,846006,906963,7131f38f,
"Andrii Lunin",404839,fuzzy,91.6667,,,,,
"Andrii Yarmolenko",69015,manual,,,,,,
"Andrija Bulatovic",986291,reep,,reep_pfb4523f5,1634789,1423504,,
"Andrija Maksimovic",952779,reep,,reep_p985a0a84,1482209,1406171,fa5116fa,
"Andrija Radulovic",614194,reep,,reep_pce87aa7d,,997198,d84b7d06,
"Beryly Lubala",577895,reep,,reep_p72cf94eb,,,6eea508b,
"Andrija Vukcevic",294987,reep,,reep_p7ec88a3f,,280737,eb4fd509,
"Andrija Zivkovic",206843,reep,,reep_pa0c12297,,188133,321f83a2,
"Andrik Markgraf",1027870,reep,,reep_p42ee38b3,1796861,1534045,,
"András Schäfer",454863,reep,,reep_p16d42052,836726,877302,049751d7,
André,800176,reep,,reep_p37d7eb94,1174296,1035996,ec604e2c,13022
"André Almeida",83466,reep,,reep_pd7fe35ed,,44636,67b3d74b,
"André Gomes",221025,reep,,reep_pfce1afcb,,235460,1961b2aa,2383
"André Luiz",1221818,reep,,reep_p8084f1a6,,1647612,,
"André Silva",565232,reep,,reep_p8a637958,,925072,,
"André Vidigal",426624,reep,,reep_pd4add919,,842335,3f332394,
"Andréa Le Borgne",1204163,reep,,reep_p10cb77b9,,,,
"Andréas Hountondji",704155,reep,,reep_p19d90407,1243571,1112796,,
"Andrés Antañón",1293040,reep,,reep_p45aece24,,1916256,,
"Andrés Castrín",719999,reep,,reep_p2fb8612a,1334767,1428699,,
"Andrés Cubas",323872,reep,,reep_p9eee65c1,,546416,,
"Andrés García",1063329,reep,,reep_pf3502a35,1430406,1457536,,13392
"Andrés Herrera",621369,reep,,reep_p5649ed20,,,460cfb5b,
"Andrés Perea",491536,reep,,reep_p679f5266,,887154,7e1dbecf,
"Andy Cannon",341882,reep,,reep_p5c981cd0,,609594,5d7b6611,
"Andy Cook",133397,reep,,reep_p6040fd37,,73475,ef9bbaf3,
"Andy Diouf",711976,reep,,reep_p5d5866a5,,1048889,9b5237b1,
"Andy Fisher",359199,reep,,reep_p3b721799,,878130,,
Matheus,412688,reep,,reep_p5d62d7de,,,,
"Andy Irving",430310,reep,,reep_pd88c38e6,,845464,b1be9fc0,12774
"Andy Nájar",145838,reep,,reep_p8fcaf505,,118178,f8280175,
"Andy Pelmard",494236,reep,,reep_p435086e1,,877978,f18d7ab2,
"Andy Rinomhota",368862,reep,,reep_p8fcd9f2a,,892482,e9bfd3cf,
"Andy Robertson",1084714,fuzzy,90,,,,,
"Andy Rojas",1056759,reep,,reep_p41179c6c,,1544955,24d1531c,
"Andy Smith",14675,reep,,reep_pc53692ee,,,,
"Andy Yiadom",188256,reep,,reep_p6fbf20ca,,128833,be950e35,
"Anel Ahmedhodzic",377468,reep,,reep_pe895bc53,793820,825899,eab957a3,10386
"Anel Husic",365107,reep,,reep_p270103cc,,1122387,,
"Anes Meliqi",944520,manual,,,,,,
"Anestis Mythou",1076214,reep,,reep_pfebabc3c,,,,
"Ange Ahoussou",847257,reep,,reep_pe4269a47,,1397914,,
"Ange Lago",804799,fuzzy,85.5,,,,,
"Ange-Yoan Bonny",827734,reep,,reep_p41a22226,1199383,1086223,,
"Angel Gomes",695968,reep,,reep_pfbbf7158,,1175588,,
Angeliño,277179,reep,,reep_p8ed8c575,603537,848355,30941e96,1040
"Angelo Fulgini",250013,reep,,reep_p4b4928e4,,787540,,
"Angelo Preciado",450241,reep,,reep_pfe1a21a8,,881844,eadc8e4f,
"Angelo Stiller",443710,reep,,reep_p95557037,,901882,3b1ed320,
"Angelos Neophytou",743598,fuzzy,90,,,,,
"Angelos Vyntra",743598,fuzzy,90,,,,,
"Angus Gunn",201574,reep,,reep_p702cb492,760746,227946,e082af5b,5544
"Angus MacDonald",192364,reep,,reep_pa9719d3e,,,9ca3f7e4,
"Anis Ben Slimane",546712,reep,,reep_p8618b503,,1006147,9ade9ce1,11730
"Anis Doubal",927107,fuzzy,90,,,,,
"Anis Hadj Moussa",917911,reep,,reep_p9382b44e,,1218066,,
"Anis Mehmeti",530813,reep,,reep_pa247e29e,,1007072,48a08f79,
"Melker Ellborg",605426,reep,,reep_pb1892dca,1186615,1099795,,
"Anisse Saidi",1073378,reep,,reep_p7a8ca08d,,1854324,,
"Anjola Popoola",1165490,reep,,reep_pbabf74bf,,1519981,,
"Anouar Ait El Hadj",486039,reep,,reep_pf43e6bb7,,964764,eb7f2e19,
"Ansgar Knauff",429874,reep,,reep_p30c65787,1175708,997012,19a967ab,
"Ansu Fati",466810,reep,,reep_p2d88af91,1086012,962883,0ba976e4,7967
"Ante Budimir",46413,reep,,reep_pa8149dbd,,37318,8f3565b3,
"Ante Coric",96630,reep,,reep_p75dafe35,,357602,2d3f7367,
"Ante Crnac",580635,reep,,reep_p17bbacb5,,1090027,,
"Ante Juric",202865,reep,,reep_pbc73bc9b,,,f4215284,
"Ante Majstorovic",207025,reep,,reep_p36396120,,95666,089f86a0,
"Ante Orec",745248,reep,,reep_p7e46eaef,,1048958,,
"Ante Palaversa",371003,reep,,reep_p362581ca,,897598,cd9b37a3,
"Ante Susak",1009496,manual,,,,,,
"Anthony Bermont",1088110,reep,,reep_pd2117e39,1573544,1545297,,
"Anthony Caci",453016,reep,,reep_pd4dc3911,771401,,0118c54c,
"Anthony Elanga",583189,reep,,reep_pa7e27407,1050166,979232,2fba6108,9524
"Anthony Glennon",503683,reep,,reep_p2810a872,,982139,6a39bd42,7572
"Anthony Gordon",503733,reep,,reep_pbc9e47d3,,914902,2bd83368,8150
"Anthony Hartigan",491741,reep,,reep_pf94b656b,,889282,515a62bb,
"Anthony Jung",58995,reep,,reep_pdd9b72a7,343766,103442,,
"Anthony Lopes",60561,reep,,reep_p3f028678,,48535,f00de885,
"Anthony Markanich",972467,reep,,reep_pd096fa97,,,565fde4a,
"Anthony Moris",78570,reep,,reep_p74279e01,,39457,99351886,
"Anthony Musaba",511401,reep,,reep_p1b552d7b,,979473,cf7836a2,
"Anthony Núñez",1283023,reep,,reep_p4a239224,,1874794,,
"Anthony O'Connor",121393,reep,,reep_p60b874f6,,137715,d2d32944,
"Anthony Patterson",475946,reep,,reep_p0810d9f7,,958718,,13721
"Anthony Ralston",388171,reep,,reep_p5ff38f67,,840227,56208b05,
"Anthony Rouault",690799,reep,,reep_p894917f8,1079554,991479,9b545925,
"Anthony Scully",325216,reep,,reep_p0dc0b16a,,920435,,
"Antino Lopez",627212,reep,,reep_pafcc453e,,1034885,7b02a7e1,
"Antoine Bernede",395512,reep,,reep_p240e9efa,767013,837080,07a821e4,
"Antoine Griezmann",125781,reep,,reep_pf4769bb8,184138,85859,df69b544,
"Antoine Joujou",1028162,reep,,reep_pc6f1a5f5,,1463265,f9124307,
"Antoine Makoumbou",460651,reep,,reep_p75299e7c,,920391,,
"Antoine Mendy",891998,reep,,reep_p5f98315e,1254147,1120615,3322e296,
"Antoine Semenyo",583255,reep,,reep_p8b74947c,933576,,efd2ec23,11363
"Anton Gaaei",701055,reep,,reep_p1534b9f0,1329665,1120315,,
"Anton Hlushchenko",717392,fuzzy,94.1176,,,,,
"Anton Kade",654234,reep,,reep_pfcb7d177,1310103,1129365,,
"Anton Lúdvíksson",1331431,fuzzy,85.5,,,,,
"Anton Nedyalkov",218441,reep,,reep_pc48145a2,,173521,244a31b9,
"Anton Salétros",249102,reep,,reep_p64eb3fae,,279513,3da8c3f9,
"Anton Stach",344069,reep,,reep_p9a7daa23,,889861,,9910
"Antone Bossenberry",1164955,manual,,,,,,
"Antonee Robinson",349701,reep,,reep_p7dd72ef5,662428,803174,289601e6,8940
"Antoni Kozubal",555057,reep,,reep_pe29fa9a1,,1101198,23c76070,
"Antoni Milambo",683620,reep,,reep_p0acaed47,1276312,1126692,,13780
"Antoni Sarcevic",160525,reep,,reep_pd50cac98,,128852,80e8d5aa,
"Antonino Gallo",392516,reep,,reep_p4f55d190,879065,945616,c74d63ac,
"Antonio Arapovic",927107,fuzzy,90,,,,,
"Antonio Arena",1251220,reep,,reep_p913702d0,1726757,,,
"Antonio Blanco",819035,reep,,reep_p08c637ec,,,,
"Antonio Caracciolo",149525,reep,,reep_pf633f6c3,195416,116666,99d8fc35,
"Antonio Colak",160668,reep,,reep_p34581837,,142395,bfde3de5,
"Antonio Ivancic",388145,reep,,reep_p9847861f,,886854,8bbb51f2,
"Antonio Martínez",143028,reep,,reep_p6e56dcde,,938518,a30a1007,
"Antonio Milic",179896,reep,,reep_p52afd500,,110942,d3bd981b,
"Antonio Nusa",894914,reep,,reep_pec9a2d72,1248482,1121923,,
"Antonio Palac",1146607,reep,,reep_p39d63dcf,,,,
"Antonio Pirrò",927107,fuzzy,90,,,,,
"Antonio Raíllo",278296,reep,,reep_p2823d066,640231,807116,b857bd29,
"Antonio Riquelme",1368117,reep,,reep_pefa9a454,,,,
"Antonio Rüdiger",86202,reep,,reep_p5a25f03f,,142622,18b896d6,1822
"Antonio Salguero",927107,fuzzy,90,,,,,
"Antonio Sanabria",234523,reep,,reep_p6768839c,474448,333261,0a447501,
"Antonio Sivera",298197,reep,,reep_p08e54289,530468,369004,9970da54,
"Antonio Sánchez",833271,reep,,reep_pe8f31a82,,,,
"Antonio Vergara",703245,reep,,reep_p660a2f91,1320863,1069560,,
"Antonis Tsiftsis",390539,reep,,reep_pbcede848,,850769,18cf07bd,
"Antoniu Roca",834744,reep,,reep_pfd5edcd8,1323403,1099344,,
Antony,602105,reep,,reep_p8d8d9955,967622,958380,99127249,11094
"Antony Evans",374283,reep,,reep_p47cf6c28,,867858,cce7087c,
"Antony Papadopoulos",482573,fuzzy,90,,,,,
"Antonín Kinsky",15322,reep,,reep_p6a35bc1b,,10783,dc7332ce,
"Antonín Rusek",318112,reep,,reep_p32625927,,841413,dd399517,
"Antwoine Hackford",670859,reep,,reep_p5409f768,,1049860,a7588cdc,9222
"António Gil",927107,fuzzy,90,,,,,
"António Silva",739617,reep,,reep_pc63d26a6,,,,
"Antônio Carlos",207446,reep,,reep_p48fd4ddb,,242209,949fe1e8,
"Anzor Mekvabishvili",502671,reep,,reep_pef72d197,,965260,,
"Aníbal Godoy",161671,reep,,reep_p66a7f047,,156102,2d496ca3,
"Anísio Cabral",1092964,reep,,reep_pb10dc8f0,,1961102,,
"Ao Tanaka",489359,reep,,reep_pb4da3b62,935728,871886,1d36d6b6,13834
"Aodhan Doherty",1077242,reep,,reep_p85af2091,,1438868,,
"Apostolos Konstantopoulos",554393,reep,,reep_pe3dedd08,,1033264,26114cb7,
"Ar'Jany Martha",572519,reep,,reep_pcf08d4bf,,1004277,364f602a,
"Aral Simsir",514887,reep,,reep_pf4eaf195,,999186,f91fa277,
"Aram Khamoyan",471095,reep,,reep_pa172e9d8,,891120,,
"Arb Manaj",354711,reep,,reep_pae7adaaa,,1014718,,
"Arbin Zejnullai",427336,reep,,reep_p9e2da496,,,,
"Arbër Hoxha",458367,reep,,reep_pf912aca3,,890663,,
"Archie Baptiste",928736,manual,,,,,,
"Archie Brown",581329,reep,,reep_p334cab15,,1009738,,
"Archie Collins",472714,reep,,reep_pcdde5ef2,,864445,,
"Archie Goodwin",865590,reep,,reep_p7ff2fdc7,,1104136,569362ab,
"Archie Gray",922693,reep,,reep_paf3cd1b3,,1142335,,10184
"Archie Whitehall",995863,manual,,,,,,
"Arda Güler",861410,reep,,reep_p54927f03,1253890,1091116,,
"Arda Ünyay",1048118,reep,,reep_pea30273f,,1464636,,
"Ardian Ismajli",435228,reep,,reep_pd1cf12c2,,840414,6b635f5c,
"Ardon Jashari",608172,reep,,reep_p661adab5,1163219,1034082,,
"Argiris Liatsikouras",1077556,fuzzy,92.6829,,,,,
"Arian Allen",967375,manual,,,,,,
"Ariath Piol",1109953,reep,,reep_pfeafc770,,1647295,1c33e4ec,
"Aribim Pepple",696502,reep,,reep_p78838d57,,992160,94c53a55,
"Ariel Lassiter",329713,reep,,reep_p425df2ec,,1125092,3ff2da48,
"Ariel Mosór",554288,reep,,reep_p10da8f0a,,1009281,421c75dc,
Arielson,1084065,reep,,reep_p02beb04f,,1459624,3e743d2d,
"Arif Al Haydar",901310,reep,,reep_p2676b138,,1084262,70f9e558,
"Arif Kovac",1368980,manual,,,,,,
"Arijon Ibrahimovic",744728,reep,,reep_p318a8fd1,1327150,1142248,f5c4fd91,
"Aristote Nsiala",121265,reep,,reep_pf15bc26a,,103121,e9f39c42,
"Armando Obispo",339337,reep,,reep_pb1fd0946,794244,825838,2ffa6348,
"Armani Little",337279,reep,,reep_p15836898,,920373,eb4f3f6d,
"Armel Bella-Kotchap",467563,reep,,reep_p800569be,951765,976025,a39d11bc,9710
"Armin Gigovic",651269,reep,,reep_pdb35cfee,,988893,d0a0858e,
"Armindo Sieb",569033,reep,,reep_p25a778df,1191741,1005834,228c1d94,
"Arnau Farnós",858944,manual,,,,,,
"Arnau Martínez",826224,reep,,reep_pf95989eb,1194892,1084081,c3e66ffe,
"Arnau Tenas",466783,reep,,reep_p4e2bfde7,,908714,30670b0e,
"Arnaud Bodart",417278,reep,,reep_p7d8dda1e,841705,878898,79c536d7,
"Arnaud Kalimuendo",585959,reep,,reep_pfcc2e917,1095445,954061,bf4c41f9,8056
"Arnaud Nordin",324811,reep,,reep_p432729cf,770340,,,
"Arnaut Danjuma",355861,reep,,reep_pb12296c6,704151,827064,f08490a6,8066
"Arne Engels",565435,reep,,reep_p40426b1b,,1001867,554bcc91,
"Arne Maier",296397,reep,,reep_p6c127601,,836706,,
"Arnór Jónsson",652274,fuzzy,95,,,,,
"Arnór Sigurdsson",377665,reep,,reep_p8175b94b,,841399,f209b81e,
"Aron Bjarnason",229194,reep,,reep_pbe3c418b,,239060,a6e092ea,
"Aron Dønnum",476836,reep,,reep_p1d3951d6,823293,863133,10cff752,
"Aron John",1140229,fuzzy,100,,,,,
"Aron Sasu",874429,reep,,reep_p5d72b120,,1155382,,
